@relation 'AlturaOla-weka.filters.unsupervised.attribute.MathExpression-E100*A-R1-10,12-15-unset-class-temporarily-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-R2-12-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3'

@attribute air numeric
@attribute pres numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}

@data
14.149988,100730,9.900009,177,8.1,9.6,6.67,5.41,100630,14.5,-258.55,-259.25,Media
14.750024,100810,9.5,187,8.7,10.9,8.33,5.32,100720,14.7,-258.55,-259.35,Media
14.450006,100860,9.199997,170,7.6,8.4,9.09,5.69,100860,14.6,-258.55,-259.15,Media
14.550012,100680,10.5,152,9.1,10.7,8.33,5.36,100720,14.7,-258.55,-258.95,Moderada
13.750024,100660,10,191,10.4,13.2,8.33,5.87,100610,14.6,-258.55,-259.65,Media
14.450006,100790,3.100006,209,3.7,4.9,10,6.61,100760,13.9,-258.65,-260.75,Media
14.35,100650,3.699997,228,0.8,1.4,8.33,7,100670,12.9,-258.55,-262.35,Media
13.750024,100800,4.300003,205,6.2,7.3,7.14,6.6,100730,14.2,-258.55,-260.95,Media
13.649988,101010,4.800003,197,6.3,7.7,7.69,5.99,100910,14.4,-258.55,-260.35,Media
13.649988,101300,7,200,6.6,9.2,7.69,6.25,101150,13.9,-258.65,-260.85,Media
14.35,101560,7.100006,207,6.1,7.3,7.69,5.87,101380,14.7,-258.35,-260.95,Media
13.750024,101590,7.400009,193,6.2,7.2,7.14,6.12,101570,14.5,-258.35,-260.55,Media
13.649988,101460,12.400009,171,9.3,11.2,8.33,5.47,101440,14.5,-258.45,-261.15,Moderada
14.250024,101220,14.300003,164,13.4,16,7.14,5.38,101140,14,-258.55,-260.45,Moderada
12.550012,101100,12.400009,197,9.3,11.5,8.33,6.55,101040,14.8,-258.65,-259.15,Moderada
14.85,100900,11.699997,182,8.4,10.5,9.09,6.67,100860,14.7,-258.85,-258.85,Moderada
14.85,100620,13.800003,191,11.7,14.1,10,5.95,100510,14.9,-258.75,-258.65,Moderada
14.450006,100950,8,238,11.8,14.5,10,6.57,100640,14.4,-259.05,-260.55,Moderada
13.450006,101330,4.100006,231,9.1,10.7,8.33,6.22,101110,14.5,-259.15,-260.45,Moderada
13.950006,101640,2.600006,247,7.1,8.9,10.81,6.86,101420,14.5,-259.15,-260.15,Media
13.550012,101800,3,252,6,8.4,9.09,6.48,101630,14.5,-259.15,-260.55,Media
13.750024,101930,1.100006,254,6.9,7.9,8.33,6.01,101760,14.1,-259.15,-261.15,Media
14.149988,102040,0.699997,261,6.5,7.8,9.09,6.08,101930,14.4,-259.05,-261.15,Media
14.250024,102050,0.400009,269,3.9,4.9,9.09,5.88,101880,14.2,-259.05,-260.65,Media
13.35,101960,1.600006,258,4.7,6.4,9.09,5.83,101860,14.2,-259.05,-262.65,Baja
13.649988,101920,1.400009,223,4.5,5.2,9.09,5.42,101790,13.9,-259.05,-261.95,Baja
13.450006,101760,1.400009,240,2.2,2.6,6.67,5.28,101800,14.2,-258.75,-262.45,Baja
14.149988,101560,1,120,2,2.4,8.33,6.81,101610,14,-258.65,-262.45,Baja
13.35,101500,-1.300003,97,4.4,5.4,9.09,6.61,101580,14,-258.95,-262.25,Baja
13.950006,101610,-4.399994,40,4.4,5.3,8.33,4.96,101650,14.2,-258.85,-261.65,Baja
13.85,101790,-6.300003,13,4.2,5.1,6.67,5.44,101840,14.4,-258.75,-260.65,Baja
13.450006,102030,-7.199997,340,3.5,4.4,7.14,5.66,101990,14.4,-258.75,-260.55,Baja
13.450006,102320,-5.399994,332,3.1,3.8,14.81,5.86,102230,14.4,-258.85,-260.25,Baja
14.050012,102530,-4.599991,318,3,3.5,6.25,5.26,102420,14.4,-258.85,-260.45,Baja
13.950006,102670,-2.199997,294,3.1,3.7,14.81,5.91,102590,14.8,-258.35,-260.45,Baja
13.950006,102630,1,257,3.1,3.7,14.81,6.21,102570,14.5,-258.35,-260.25,Baja
13.649988,102620,1.400009,244,3.8,4.5,13.79,6.04,102560,14.2,-258.55,-260.95,Baja
13.550012,102430,4.600006,144,2.2,2.7,14.81,6.7,102420,13.9,-258.55,-261.65,Baja
13.750024,102230,3.5,142,2.7,3.4,13.79,4.18,102360,13.8,-258.55,-262.05,Baja
13.550012,102160,-2.599991,79,5.1,5.8,5.26,3.92,102260,13.6,-258.55,-261.15,Baja
13.649988,102360,-4.599991,16,4.5,5.6,6.25,5.29,102370,14.1,-258.65,-260.85,Baja
13.649988,102480,-3.099991,332,1.3,1.7,7.69,5.41,102460,14.4,-258.55,-260.85,Baja
14.649988,102410,4.600006,169,2.6,3.2,7.69,5.97,102420,14.5,-258.15,-261.15,Baja
14.649988,101960,10.900009,142,7.7,9.9,6.67,4.06,102020,13.8,-258.55,-260.05,Media
14.050012,101430,11,185,5.5,6.4,5.88,4.84,101390,14.6,-258.65,-258.85,Media
15.750024,101140,7.100006,219,7.6,9.2,6.25,4.61,101000,14.6,-258.65,-258.85,Baja
14.750024,101130,4.699997,246,5.9,6.9,6.67,5.05,100960,14.5,-258.65,-259.05,Media
14.149988,101390,0.800003,271,6.6,8.4,7.14,5.51,101170,14.8,-258.55,-259.25,Media
13.649988,101490,-1,272,6.3,7.4,7.69,5.17,101360,14.4,-258.65,-261.75,Media
14.050012,101590,2.600006,227,6.5,8.1,8.33,5.76,101420,14.3,-258.65,-261.45,Media
13.950006,101470,5.699997,223,6.7,8.1,7.69,5.09,101350,14.4,-258.65,-261.95,Media
13.35,101390,7.400009,228,9.7,11.3,7.69,5.58,101240,13.9,-258.65,-262.25,Media
14.250024,101430,5,235,9.4,11.2,8.33,5.44,101180,14.3,-258.65,-260.65,Media
14.149988,101570,1.800003,265,7.4,9.2,9.09,6.15,101380,14.3,-258.75,-261.55,Media
14.450006,101710,1.5,267,6.4,7.6,10,5.92,101590,14.6,-258.55,-261.25,Media
13.950006,101790,1,256,5.5,6.6,9.09,6.34,101720,14.3,-258.55,-261.45,Media
13.250024,101850,1.5,231,5.3,6.8,10.81,6.58,101740,14.1,-258.55,-260.75,Media
13.750024,101940,2.100006,259,5.9,7,10,6.24,101810,13.5,-258.65,-261.05,Baja
14.750024,101840,6.600006,229,6.5,7.7,10,5.83,101730,14.5,-258.45,-260.75,Baja
13.35,101450,10.600006,185,7.5,9,8.33,5.3,101430,14.4,-258.45,-262.65,Media
13.35,100930,11.800003,165,11.1,13.6,5.88,4.93,100890,13.6,-258.55,-260.95,Media
13.450006,100400,9.699997,170,8.4,9.8,7.14,5.56,100410,13.8,-258.65,-260.85,Media
13.649988,100070,5,163,6.8,8.3,9.09,5.95,100110,14.3,-258.55,-261.65,Moderada
13.950006,99920,-0.800003,230,0.3,0.8,10,6.88,100000,13.8,-258.45,-261.45,Media
13.050012,99920,-2.199997,294,4.8,5.6,10,7.12,99910,13.6,-258.55,-262.15,Media
13.250024,100050,-5.599991,289,6.8,8.4,9.09,6.53,100000,14,-258.55,-262.05,Media
13.950006,100280,-4.599991,296,7.6,8.7,9.09,6.27,100090,14.2,-258.45,-261.25,Media
13.750024,100530,-3,288,9.6,11.7,9.09,5.61,100370,14.4,-258.55,-262.15,Media
13.450006,100660,-1,273,8.6,10.3,9.09,5.64,100490,14.2,-258.55,-261.55,Media
13.85,100710,3.199997,254,8.4,9.7,8.33,5.38,100570,14.1,-258.65,-263.15,Media
13.750024,100570,5.699997,226,8.2,9.8,6.67,5.29,100510,13.8,-258.45,-261.55,Media
13.550012,100260,6.900009,179,6.4,7.4,7.69,5.36,100270,13.3,-258.55,-261.55,Baja
13.649988,100060,0.199997,260,4.1,5,6.67,5.06,100090,13.4,-258.45,-260.55,Baja
14.050012,100350,-3.800003,225,1.9,2.4,12.12,5.86,100240,14.1,-258.45,-261.05,Baja
14.85,100690,-2.5,312,5.7,6.9,6.67,5.2,100410,14,-258.45,-260.45,Baja
13.750024,101010,-4.5,291,8.2,9.4,7.14,4.96,100820,14.2,-258.45,-261.55,Media
13.550012,101240,-1.5,287,8.5,9.7,9.09,5.67,101010,13.9,-258.55,-263.35,Media
13.85,101350,-2,282,9.5,11.1,9.09,4.94,101200,13.9,-258.55,-265.85,Media
14.250024,101650,-4.899994,290,9.3,11.4,8.33,5.55,101450,14.3,-258.45,-262.55,Media
13.649988,101980,-4.899994,300,9.9,11.5,7.14,5.23,101780,14.1,-258.55,-262.65,Media
13.050012,102230,-2.399994,272,8.8,10.1,8.33,5.6,102020,14.1,-258.55,-263.05,Media
13.649988,102220,-0.5,264,9.6,12.3,7.69,5.22,102030,14.2,-258.65,-262.85,Media
14.250024,102350,0.900009,264,10.4,12.3,7.14,5.59,102100,14.4,-258.55,-261.85,Media
13.450006,102310,0.400009,273,9,10.5,8.33,5.48,102110,14.4,-258.65,-261.95,Media
13.450006,102350,2.100006,258,8.9,10.3,7.14,5.42,102140,13.9,-258.75,-262.95,Media
14.35,102190,4.5,237,7,8.1,8.33,5.53,102110,14.1,-258.85,-261.45,Media
14.250024,102150,4.300003,177,5.6,6.4,7.69,5.14,102010,14.3,-258.75,-259.55,Baja
14.550012,101980,4.699997,230,5.3,6.3,7.14,5.24,101870,14.4,-258.75,-259.05,Media
14.250024,102070,5.699997,223,9.3,10.4,5.88,4.62,101850,14.7,-258.75,-258.85,Media
15.149988,102130,7.600006,233,8.3,10.1,5.88,4.79,101880,15.2,-258.75,-258.75,Media
15.050012,102110,10.699997,212,10.3,12.7,6.25,4.77,101890,15.3,-258.65,-259.05,Media
14.550012,102080,11.400009,207,10.8,13.2,7.14,4.8,101890,14.8,-258.65,-259.15,Moderada
14.550012,102050,13.5,200,10.6,12.7,7.14,5.64,101860,15,-258.75,-260.15,Moderada
14.950006,101920,12.800003,198,12.1,15.2,7.14,5.64,101720,14.9,-258.75,-259.45,Moderada
15.250024,101800,12.900009,194,10.9,13.3,8.33,5.81,101680,15.1,-258.75,-259.15,Moderada
15.149988,101520,11.699997,191,11,13.6,8.33,5.47,101320,15,-258.75,-258.65,Moderada
14.050012,101490,6,233,7.5,8.9,9.09,6.06,101330,14.6,-258.75,-258.85,Media
14.050012,101490,-0.099991,271,4.7,5.5,9.09,6.31,101410,14,-258.75,-259.35,Baja
14.35,101520,-3.300003,280,5,6,7.69,5.73,101480,14,-258.55,-260.15,Baja
13.649988,101530,-4.800003,278,5.6,6.6,8.33,5.59,101460,14.3,-258.65,-262.05,Baja
13.750024,101600,-4.699997,270,5.1,6.1,7.14,4.77,101480,14.4,-258.65,-261.75,Media
13.550012,101680,-2.300003,268,6.8,8.3,7.69,4.84,101510,14.3,-258.65,-261.95,Media
13.85,101800,-1.899994,278,8.3,10,7.14,4.86,101640,14.6,-258.65,-261.35,Media
13.649988,101850,-2.199997,294,5.3,6.2,5.88,5,101730,14.2,-258.65,-260.95,Baja
13.450006,101950,-2,286,5.3,6,6.25,4.76,101860,14.2,-258.65,-261.75,Baja
13.550012,101970,-0.699997,268,3.2,3.9,7.14,5.53,101910,14.4,-258.65,-261.55,Baja
14.250024,102070,2.400009,254,3.8,4.4,16,4.75,101990,13.9,-258.65,-261.95,Baja
13.85,102040,2.300003,200,3.7,4.6,14.81,7.63,102010,13.6,-258.65,-261.75,Media
13.950006,102050,4.5,150,4.2,5,12.12,8.57,102000,13.2,-258.65,-260.75,Media
14.149988,101970,5.900009,168,5.3,6.5,12.12,7.72,101960,13.9,-258.65,-260.45,Media
15.149988,101870,6.300003,159,6.5,7.6,10.81,6.12,101940,14.2,-258.55,-260.95,Media
14.85,101730,5.900009,135,8.4,10.1,12.12,5.29,101820,13.8,-258.65,-260.05,Media
14.149988,101810,4.600006,174,4.8,5.6,10.81,5.99,101730,14.4,-258.65,-259.05,Media
13.750024,101930,1.600006,226,4.3,5.1,11.43,6.52,101820,14.2,-258.65,-259.25,Media
14.950006,102130,-2,285,7.3,8.7,10,5.76,101980,14.3,-258.55,-260.85,Media
13.649988,102320,-1.899994,280,4.7,5.7,10,6.03,102200,14.2,-258.55,-260.95,Media
13.450006,102390,0.199997,264,1.7,3.1,11.43,6.37,102350,14,-258.65,-262.05,Baja
14.050012,102410,5.699997,127,5.7,6.6,6.67,6.19,102420,14,-258.65,-261.25,Baja
14.550012,102270,9.600006,142,8.4,10,6.67,5.07,102320,14.6,-258.65,-260.05,Baja
14.649988,102240,12.100006,167,6.9,8.3,5.56,4.9,102240,14.8,-258.65,-258.55,Media
14.649988,102240,12,173,9.5,11.1,6.67,4.58,102150,14.8,-258.65,-258.55,Media
15.149988,102190,13.199997,179,10,12.6,8.33,5.72,102120,15,-258.65,-258.55,Media
16.050012,102030,14.400009,165,9.9,11.6,8.33,5.4,101990,15.5,-258.55,-259.15,Moderada
14.550012,101860,13.699997,166,9.8,11.4,8.33,5.96,101840,15.2,-258.55,-259.15,Moderada
14.649988,101700,13.900009,164,10.2,12.7,9.09,5.97,101690,15,-258.55,-258.95,Moderada
14.450006,101530,11.400009,163,9.8,11.9,10,6.79,101510,14.8,-258.55,-258.85,Moderada
15.050012,101330,12.800003,162,9.4,11.2,10,6.3,101360,15.1,-258.45,-258.85,Moderada
13.750024,101160,11.5,162,11.1,13.5,10,5.67,101120,15.2,-258.55,-258.85,Moderada
14.649988,101110,8.800003,159,10.5,12.5,9.09,6.06,101010,15.3,-258.55,-258.75,Media
14.050012,101110,7.800003,169,7.1,8.2,10,5.98,101020,14.8,-258.55,-258.55,Media
14.85,100880,8.400009,152,8.9,10.6,9.09,5.87,100810,15.3,-258.55,-258.55,Media
13.450006,100880,8.5,246,7.6,9.5,12.12,5.84,100790,13.6,-258.55,-262.25,Moderada
13.750024,100960,6.5,198,7,8.3,12.9,7.3,100900,14.4,-258.65,-261.35,Moderada
13.550012,101070,4.400009,205,5.9,7.6,13.79,7.62,100970,14.4,-258.65,-260.75,Media
13.550012,101180,2.199997,233,4.5,5.9,13.79,7.09,101310,14.6,-258.45,-262.25,Moderada
13.649988,101260,2.300003,222,4.6,5.8,12.9,8.45,101220,14.3,-258.55,-261.95,Media
13.149988,101370,-0.399994,259,4.8,5.9,12.12,7.41,101290,14.3,-258.55,-261.45,Media
12.85,101340,0.199997,228,3.1,4.6,10.81,7.84,101300,14.3,-258.55,-261.05,Media
13.85,101340,1.199997,250,1.3,1.9,7.14,6.56,101300,14.5,-258.45,-261.45,Media
12.85,101020,6.800003,185,4.7,5.5,9.09,7.12,101010,14.3,-258.45,-262.05,Media
13.450006,100540,11.400009,162,7.9,9.5,7.69,5.17,100570,14.1,-258.55,-263.25,Media
13.149988,99940,13.600006,164,11.1,14.1,5.56,5.19,100000,13.7,-258.65,-261.55,Moderada
13.250024,99350,11.400009,153,13.2,15.9,8.33,6.18,99450,13.2,-258.65,-260.75,Moderada
14.35,98640,10.600006,172,7.1,8.9,8.33,6.64,98840,14.2,-258.65,-259.45,Media
14.35,98010,13.300003,141,9.1,11.7,8.33,5.75,98190,14.4,-258.55,-259.35,Moderada
13.450006,97760,8.600006,165,8.1,9.9,8.33,5.98,97700,14.6,-258.55,-260.15,Media
13.550012,98150,6.100006,232,4.9,5.7,7.14,6.16,97640,14.7,-258.45,-260.25,MuyAlta
13.250024,98920,7,262,14.3,18.3,11.43,6.59,98510,12.7,-258.65,-263.15,MuyAlta
13.149988,99700,6.600006,247,13.8,17.1,9.09,7.58,99260,13.6,-258.75,-262.65,MuyAlta
13.550012,100240,9.600006,223,11.2,13.3,10,7.17,99940,14,-258.85,-262.95,Moderada
14.35,100570,6.900009,219,7,8.5,11.43,7.13,100400,14.1,-258.85,-263.75,Moderada
13.250024,100340,-1.300003,154,5.1,6,10,7.64,100400,13.8,-258.85,-262.35,Media
12.250024,100250,-3.300003,120,0.5,1.2,7.69,6.71,100270,12,-258.85,-264.85,Media
12.649988,100540,-1.399994,241,3.8,4.6,10,7.05,100420,13.1,-258.85,-264.85,Media
12.950006,100740,-0.399994,218,2.6,3.3,8.33,6.48,100660,13.5,-258.75,-263.85,Media
13.149988,100430,-3.800003,53,2,3,8.33,7.18,100510,13.1,-258.85,-264.15,Media
12.649988,99870,-9.5,28,7.2,8.8,8.33,6.44,100050,13.1,-258.85,-263.55,Media
12.050012,99250,-13.199997,357,10,12.5,4.76,4.92,99470,13.2,-258.95,-263.75,Media
11.250024,99580,-4.599991,311,11.2,13.3,6.25,5.28,99320,13.1,-258.95,-265.15,Moderada
12.250024,100020,1.699997,253,8.4,10.4,7.69,5.77,99790,13.2,-258.95,-265.05,Media
12.450006,100280,3.800003,210,5.4,6.9,10,6.18,100200,13.2,-258.95,-265.05,Media
13.050012,100410,2.5,196,3.6,4.6,8.33,6.37,100370,12.2,-259.05,-265.05,Media
14.050012,100670,1.400009,141,1.1,1.7,6.67,6.05,101330,13.4,-258.65,-264.65,Media
13.649988,100810,-1,119,2.9,3.7,6.67,6.23,100860,13.1,-258.75,-264.55,Baja
13.050012,100850,-2.699997,53,4.3,5,7.14,6.05,100940,13.1,-258.95,-263.95,Baja
13.550012,100820,-7.099991,48,6.6,7.9,6.67,5.13,100990,13.3,-258.95,-264.15,Baja
13.85,100680,-10.199997,27,8.3,9.8,3.85,4.3,100800,13.4,-258.95,-264.15,Media
12.950006,100500,-14.5,19,9.8,11.7,5.56,4.3,100640,13.1,-258.95,-264.45,Media
12.550012,100390,-14.599991,359,11,12.7,5.26,4.9,100440,12.9,-259.05,-265.15,Media
13.149988,100390,-14.099991,346,10.5,12.1,6.25,5.19,100450,12.8,-259.15,-266.05,Media
13.450006,100510,-11.5,335,9.2,10.9,6.67,5.11,100480,13.3,-259.05,-264.85,Media
13.550012,100580,-7.899994,348,7.5,8.5,6.67,5.21,100570,13.2,-259.15,-264.35,Media
13.550012,100640,-10.800003,359,6.1,7.1,6.25,5.48,100660,13.1,-259.15,-263.05,Media
14.050012,100790,-9.5,23,6.8,8,9.09,6.19,100840,14.4,-259.15,-263.35,Media
14.050012,100930,-9,13,6.5,7.5,12.12,6.04,100940,14.2,-259.05,-263.05,Media
13.550012,100950,-4.899994,18,6.1,7.7,10,6.96,101000,13.8,-259.15,-263.05,Media
14.35,100790,-3,33,4.2,5.2,11.43,6.79,100790,13.1,-259.15,-261.55,Media
13.35,100570,0.800003,98,2.4,3.3,10,6.95,100550,13.4,-259.15,-260.95,Media
14.149988,100290,6.699997,181,3.9,4.6,10.81,7.71,100340,13.4,-259.05,-262.55,Media
13.649988,100100,6.5,136,5.3,6.4,10,6.38,100170,13.3,-259.05,-261.55,Media
13.450006,100020,7,139,9.5,10.9,10,5.15,99900,12.8,-259.15,-261.25,Media
12.950006,99960,9.900009,197,6.6,7.7,9.09,5.42,99930,13.5,-259.15,-265.05,Media
12.950006,99600,9.900009,155,9.2,11.2,8.33,5.49,99740,13.8,-259.05,-262.25,Moderada
13.250024,99430,7.400009,148,9.8,11.2,8.33,6.48,99570,13.2,-259.05,-262.35,Moderada
