@relation 'AlturaOla-weka.filters.unsupervised.attribute.MathExpression-E100*A-R1-10,12-15-unset-class-temporarily-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-R2-12-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.MathExpression-EA+273.15-V-R7-weka.filters.unsupervised.attribute.MathExpression-E(A-96020 )/(103850-96020)-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A+17.9 )/(21.1+17.9)-V-R2-weka.filters.unsupervised.attribute.MathExpression-E(A-0 )/(359-0)-V-R3-weka.filters.unsupervised.attribute.MathExpression-E(A-0.4 )/(26.1-0.4)-V-R4-weka.filters.unsupervised.attribute.MathExpression-E(A-3.1 )/(11.09-3.1)-V-R5-weka.filters.unsupervised.attribute.MathExpression-E(A+0.9 )/(15.8+0.9)-V-R6-weka.filters.unsupervised.attribute.MathExpression-E(A-6 )/(16.1-6)-V-R7'

@attribute pres numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute GST numeric
@attribute APD numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}

@data
0.767561,0.274359,0.947075,0.155642,0.320401,0.916168,0.831683,Baja
0.804598,0.320513,0.924791,0.132296,0.345432,0.916168,0.821782,Baja
0.831418,0.341026,0.885794,0.120623,0.270338,0.916168,0.821782,Baja
0.849298,0.402564,0.818942,0.128405,0.35169,0.94012,0.871287,Baja
0.844189,0.484615,0.715877,0.128405,0.389237,0.922156,0.871287,Baja
0.842912,0.494872,0.679666,0.159533,0.36796,0.904192,0.851485,Baja
0.818646,0.576923,0.401114,0.089494,0.450563,0.886228,0.851485,Baja
0.793103,0.548718,0.395543,0.116732,0.135169,0.88024,0.851485,Baja
0.784163,0.392308,0.220056,0.210117,0.102628,0.868263,0.851485,Baja
0.809706,0.341026,0.044568,0.202335,0.274093,0.898204,0.841584,Baja
0.825032,0.379487,0.924791,0.050584,0.289111,0.916168,0.851485,Baja
0.816092,0.576923,0.470752,0.108949,0.359199,0.922156,0.891089,Baja
0.758621,0.738462,0.395543,0.36965,0.12015,0.88024,0.851485,Media
0.690932,0.741026,0.51532,0.233463,0.217772,0.928144,0.841584,Media
0.653895,0.641026,0.610028,0.342412,0.188986,0.928144,0.841584,Baja
0.652618,0.579487,0.685237,0.252918,0.244055,0.922156,0.841584,Media
0.685824,0.479487,0.754875,0.311284,0.301627,0.94012,0.851485,Media
0.698595,0.433333,0.75766,0.272374,0.259074,0.916168,0.841584,Media
0.711367,0.525641,0.632312,0.299611,0.332916,0.91018,0.841584,Media
0.696041,0.605128,0.62117,0.299611,0.249061,0.916168,0.841584,Media
0.685824,0.648718,0.635097,0.424125,0.310388,0.886228,0.841584,Media
0.690932,0.587179,0.654596,0.420233,0.292866,0.91018,0.841584,Media
0.708812,0.505128,0.738162,0.342412,0.381727,0.91018,0.831683,Media
0.726692,0.497436,0.743733,0.280156,0.352941,0.928144,0.851485,Media
0.736909,0.484615,0.713092,0.241245,0.405507,0.91018,0.851485,Media
0.744572,0.497436,0.643454,0.249027,0.435544,0.898204,0.851485,Media
0.756066,0.512821,0.721448,0.256809,0.392991,0.862275,0.841584,Baja
0.743295,0.628205,0.637883,0.284047,0.341677,0.922156,0.861386,Baja
0.693487,0.730769,0.51532,0.33463,0.275344,0.916168,0.861386,Media
0.627075,0.761539,0.45961,0.513619,0.229036,0.868263,0.851485,Media
0.559387,0.707692,0.473538,0.365759,0.307885,0.88024,0.841584,Media
0.517241,0.587179,0.454039,0.307393,0.356696,0.91018,0.851485,Moderada
0.498084,0.438461,0.640669,0.015564,0.473091,0.88024,0.861386,Media
0.498084,0.402564,0.818942,0.202335,0.503129,0.868263,0.851485,Media
0.514687,0.315385,0.805014,0.311284,0.429287,0.892216,0.851485,Media
0.544061,0.341026,0.824513,0.322957,0.396746,0.904192,0.861386,Media
0.57599,0.382051,0.802228,0.439689,0.314143,0.916168,0.851485,Media
0.592593,0.433333,0.760446,0.385214,0.317897,0.904192,0.851485,Media
0.598978,0.541026,0.707521,0.361868,0.285357,0.898204,0.841584,Media
0.581098,0.605128,0.629526,0.365759,0.274093,0.88024,0.861386,Media
0.541507,0.635898,0.498607,0.272374,0.282854,0.850299,0.851485,Baja
0.515964,0.464102,0.724234,0.178988,0.245307,0.856287,0.861386,Baja
0.553001,0.361538,0.626741,0.077821,0.345432,0.898204,0.861386,Baja
0.596424,0.394872,0.869081,0.252918,0.262829,0.892216,0.861386,Baja
0.637292,0.34359,0.810585,0.350195,0.232791,0.904192,0.861386,Media
0.666667,0.420513,0.799443,0.361868,0.321652,0.886228,0.851485,Media
0.680715,0.407692,0.785515,0.416342,0.230288,0.886228,0.851485,Media
0.719029,0.333333,0.807799,0.428016,0.306633,0.91018,0.861386,Media
0.761175,0.333333,0.835655,0.431907,0.266583,0.898204,0.851485,Media
0.793103,0.397436,0.75766,0.377432,0.312891,0.898204,0.851485,Media
0.791826,0.446154,0.735376,0.463035,0.265332,0.904192,0.841584,Media
0.808429,0.482052,0.735376,0.463035,0.31164,0.916168,0.851485,Media
0.803321,0.469231,0.760446,0.392996,0.297872,0.916168,0.841584,Media
0.808429,0.512821,0.718663,0.385214,0.290363,0.886228,0.831683,Media
0.787995,0.574359,0.660167,0.299611,0.30413,0.898204,0.821782,Media
0.782886,0.569231,0.493036,0.233463,0.255319,0.91018,0.831683,Baja
0.761175,0.579487,0.640669,0.229572,0.267835,0.916168,0.831683,Media
0.772669,0.605128,0.62117,0.389105,0.190238,0.934132,0.831683,Media
0.780332,0.653846,0.649025,0.377432,0.211514,0.964072,0.831683,Media
0.777778,0.733333,0.590529,0.478599,0.209011,0.97006,0.841584,Media
0.773946,0.751282,0.576602,0.498054,0.212766,0.94012,0.841584,Moderada
0.770115,0.805128,0.557103,0.478599,0.317897,0.952096,0.831683,Moderada
0.753512,0.78718,0.551532,0.575875,0.317897,0.946108,0.831683,Moderada
0.738186,0.789744,0.54039,0.501946,0.339174,0.958084,0.831683,Moderada
0.702427,0.758974,0.532033,0.513619,0.296621,0.952096,0.831683,Moderada
0.698595,0.612821,0.649025,0.330739,0.370463,0.928144,0.831683,Media
0.698595,0.45641,0.754875,0.198444,0.401752,0.892216,0.831683,Baja
0.702427,0.374359,0.779944,0.217899,0.329161,0.892216,0.851485,Baja
0.703704,0.335897,0.774373,0.241245,0.31164,0.91018,0.841584,Baja
0.712644,0.338462,0.752089,0.22179,0.209011,0.916168,0.841584,Media
0.722861,0.4,0.746518,0.307393,0.217772,0.91018,0.841584,Media
0.738186,0.410257,0.774373,0.373541,0.220275,0.928144,0.841584,Media
0.744572,0.402564,0.818942,0.225681,0.237797,0.904192,0.841584,Baja
0.757344,0.407692,0.796657,0.217899,0.20776,0.904192,0.841584,Baja
0.759898,0.441026,0.746518,0.136187,0.30413,0.916168,0.841584,Baja
0.772669,0.520513,0.707521,0.155642,0.206508,0.886228,0.841584,Baja
0.768838,0.517949,0.557103,0.163424,0.566959,0.868263,0.841584,Media
0.770115,0.574359,0.417827,0.178988,0.684606,0.844311,0.841584,Media
0.759898,0.610257,0.467967,0.237354,0.578223,0.886228,0.841584,Media
0.747126,0.620513,0.442897,0.280156,0.377972,0.904192,0.851485,Media
0.729246,0.610257,0.376045,0.377432,0.274093,0.88024,0.841584,Media
0.739464,0.576923,0.48468,0.202335,0.361702,0.916168,0.841584,Media
0.754789,0.5,0.629526,0.182879,0.428035,0.904192,0.841584,Media
0.780332,0.407692,0.793872,0.322957,0.332916,0.91018,0.851485,Media
0.804598,0.410257,0.779944,0.206226,0.366708,0.904192,0.851485,Media
0.813538,0.464102,0.735376,0.105058,0.409262,0.892216,0.841584,Baja
0.816092,0.605128,0.35376,0.241245,0.386733,0.892216,0.841584,Baja
0.798212,0.705128,0.395543,0.373541,0.246558,0.928144,0.841584,Baja
0.794381,0.769231,0.465181,0.307393,0.225282,0.94012,0.841584,Media
0.794381,0.766667,0.481894,0.416342,0.185232,0.94012,0.841584,Media
0.787995,0.797436,0.498607,0.474708,0.32791,0.952096,0.841584,Media
0.767561,0.828205,0.45961,0.435798,0.28786,0.982036,0.851485,Moderada
0.745849,0.810256,0.462396,0.428016,0.357947,0.964072,0.851485,Moderada
0.725415,0.815385,0.456825,0.478599,0.359199,0.952096,0.851485,Moderada
0.703704,0.751282,0.454039,0.447471,0.461827,0.94012,0.851485,Moderada
0.678161,0.78718,0.451253,0.420233,0.400501,0.958084,0.861386,Moderada
0.65645,0.753846,0.451253,0.509728,0.321652,0.964072,0.851485,Moderada
0.650064,0.684615,0.442897,0.470817,0.370463,0.97006,0.851485,Media
0.650064,0.658974,0.470752,0.303502,0.360451,0.94012,0.851485,Media
0.62069,0.674359,0.423398,0.396887,0.346683,0.97006,0.851485,Media
0.62069,0.676923,0.685237,0.354086,0.342929,0.868263,0.851485,Moderada
0.630907,0.625641,0.551532,0.307393,0.525657,0.916168,0.841584,Moderada
0.644955,0.571795,0.571031,0.280156,0.565707,0.916168,0.841584,Media
0.659004,0.515385,0.649025,0.214008,0.499374,0.928144,0.861386,Moderada
0.669221,0.517949,0.618384,0.210117,0.669587,0.91018,0.851485,Media
0.683269,0.448718,0.721448,0.214008,0.539424,0.91018,0.851485,Media
0.679438,0.464102,0.635097,0.163424,0.593242,0.91018,0.851485,Media
0.679438,0.489744,0.696379,0.058366,0.433041,0.922156,0.861386,Media
0.63857,0.633333,0.51532,0.198444,0.503129,0.91018,0.861386,Media
0.577267,0.751282,0.451253,0.354086,0.259074,0.898204,0.851485,Media
0.500639,0.807692,0.456825,0.533074,0.261577,0.874251,0.841584,Moderada
0.425287,0.751282,0.426184,0.603113,0.385482,0.844311,0.841584,Moderada
0.33461,0.730769,0.479109,0.330739,0.443054,0.904192,0.841584,Media
0.254151,0.8,0.392758,0.439689,0.331665,0.916168,0.851485,Moderada
0.222222,0.679487,0.45961,0.36965,0.360451,0.928144,0.851485,Media
0.272031,0.615385,0.64624,0.206226,0.382979,0.934132,0.861386,MuyAlta
0.37037,0.638462,0.729805,0.696498,0.436796,0.814371,0.841584,MuyAlta
0.469987,0.628205,0.688022,0.649805,0.560701,0.868263,0.831683,MuyAlta
0.538953,0.705128,0.62117,0.501946,0.509387,0.892216,0.821782,Moderada
0.581098,0.635898,0.610028,0.315175,0.50438,0.898204,0.821782,Moderada
0.551724,0.425641,0.428969,0.217899,0.56821,0.88024,0.821782,Media
0.54023,0.374359,0.334262,0.031128,0.451815,0.772455,0.821782,Media
0.577267,0.423077,0.671309,0.163424,0.494368,0.838323,0.821782,Media
0.60281,0.448718,0.607242,0.11284,0.423029,0.862275,0.831683,Media
0.563218,0.361538,0.147632,0.101167,0.510638,0.838323,0.821782,Media
0.491699,0.215385,0.077994,0.326848,0.418023,0.838323,0.821782,Media
0.412516,0.120513,0.994429,0.470817,0.227785,0.844311,0.811881,Media
0.454662,0.341026,0.866295,0.501946,0.272841,0.838323,0.811881,Moderada
0.510856,0.502564,0.704735,0.389105,0.334168,0.844311,0.811881,Media
0.544061,0.55641,0.584958,0.252918,0.385482,0.844311,0.811881,Media
0.560664,0.523077,0.545961,0.163424,0.409262,0.784431,0.80198,Media
0.59387,0.494872,0.392758,0.050584,0.369212,0.856287,0.841584,Media
0.61175,0.433333,0.331476,0.128405,0.39174,0.838323,0.831683,Baja
0.616858,0.389744,0.147632,0.178988,0.369212,0.838323,0.811881,Baja
0.613027,0.276923,0.133705,0.291829,0.254068,0.850299,0.811881,Baja
0.595147,0.197436,0.075209,0.365759,0.150188,0.856287,0.811881,Media
0.572158,0.087179,0.052925,0.439689,0.150188,0.838323,0.811881,Media
0.55811,0.084616,1,0.478599,0.225282,0.826347,0.80198,Media
0.55811,0.097436,0.963788,0.455253,0.261577,0.820359,0.792079,Media
0.573436,0.164103,0.933148,0.40856,0.251564,0.850299,0.80198,Media
0.582375,0.25641,0.969359,0.315175,0.26408,0.844311,0.792079,Media
0.590038,0.182051,1,0.2607,0.297872,0.838323,0.792079,Media
0.609195,0.215385,0.064067,0.29572,0.386733,0.916168,0.792079,Media
0.627075,0.228205,0.036212,0.276265,0.36796,0.904192,0.80198,Media
0.62963,0.333333,0.050139,0.284047,0.483104,0.88024,0.792079,Media
0.609195,0.382051,0.091922,0.18677,0.461827,0.838323,0.792079,Media
0.581098,0.479487,0.272981,0.11284,0.481852,0.856287,0.792079,Media
0.545338,0.630769,0.504178,0.163424,0.576971,0.856287,0.80198,Media
0.521073,0.625641,0.37883,0.233463,0.410513,0.850299,0.80198,Media
0.510856,0.638462,0.387187,0.40856,0.256571,0.820359,0.792079,Media
0.503193,0.712821,0.548747,0.284047,0.290363,0.862275,0.792079,Media
0.457216,0.712821,0.431755,0.420233,0.299124,0.88024,0.80198,Moderada
0.435504,0.648718,0.412256,0.420233,0.423029,0.844311,0.80198,Moderada
0.421456,0.630769,0.392758,0.342412,0.418023,0.832335,0.80198,Moderada
0.436782,0.517949,0.395543,0.206226,0.413016,0.844311,0.792079,Media
0.466156,0.353846,0.08078,0.330739,0.421777,0.832335,0.811881,Media
0.528736,0.223077,0.949861,0.447471,0.275344,0.862275,0.80198,Media
0.583653,0.271795,0.824513,0.412451,0.26408,0.850299,0.792079,Media
0.62069,0.364103,0.788301,0.400778,0.294118,0.838323,0.80198,Media
0.65645,0.374359,0.779944,0.400778,0.332916,0.862275,0.80198,Moderada
0.684547,0.379487,0.824513,0.595331,0.357947,0.796407,0.792079,Moderada
0.717752,0.315385,0.768802,0.529183,0.428035,0.760479,0.782178,Moderada
0.750958,0.312821,0.807799,0.505837,0.38423,0.796407,0.782178,Moderada
0.777778,0.246154,0.835655,0.490272,0.394243,0.796407,0.772277,Moderada
0.794381,0.3,0.89415,0.326848,0.441802,0.754491,0.772277,Moderada
0.799489,0.333333,0.977716,0.171206,0.403004,0.736527,0.762376,Baja
0.800766,0.489744,0.208914,0.202335,0.375469,0.748503,0.762376,Baja
0.780332,0.566667,0.325905,0.350195,0.202753,0.784431,0.762376,Media
0.722861,0.492308,0.289694,0.505837,0.214018,0.760479,0.762376,Moderada
0.590038,0.551282,0.286908,0.66537,0.34418,0.766467,0.752475,MuyAlta
0.422733,0.664103,0.253482,0.883268,0.590738,0.736527,0.742574,MuyAlta
0.389527,0.930769,0.442897,0.40856,0.620776,0.892216,0.732673,MuyAlta
0.351213,0.966667,0.487465,0.470817,0.663329,0.874251,0.742574,MuyAlta
0.277139,0.979487,0.389972,0.673152,0.474343,0.838323,0.732673,MuyAlta
0.300128,0.764103,0.587744,0.735409,0.647059,0.808383,0.722772,MuyAlta
0.425287,0.469231,0.679666,0.490272,0.650814,0.868263,0.722772,MuyAlta
0.561941,0.441026,0.724234,0.575875,0.454318,0.784431,0.712871,Moderada
0.62963,0.64359,0.612813,0.505837,0.531915,0.748503,0.712871,Moderada
0.636015,0.725641,0.562674,0.40856,0.382979,0.796407,0.70297,Moderada
0.606641,0.764103,0.493036,0.451362,0.354193,0.832335,0.712871,Moderada
0.533844,0.776923,0.454039,0.463035,0.381727,0.838323,0.70297,Moderada
0.453384,0.661539,0.543175,0.715953,0.369212,0.88024,0.712871,Moderada
0.53129,0.415385,0.763231,0.540856,0.390488,0.688623,0.70297,Moderada
0.615581,0.505128,0.724234,0.599222,0.390488,0.676647,0.683168,Moderada
0.678161,0.512821,0.718663,0.599222,0.423029,0.622754,0.693069,MuyAlta
0.716475,0.474359,0.729805,0.529183,0.546934,0.640719,0.663366,Moderada
0.740741,0.479487,0.760446,0.36965,0.435544,0.634731,0.673267,Moderada
0.744572,0.428205,0.779944,0.280156,0.479349,0.592814,0.663366,Moderada
0.744572,0.402564,0.724234,0.361868,0.379224,0.598802,0.663366,Media
0.736909,0.315385,0.963788,0.330739,0.460576,0.580838,0.653465,Media
0.726692,0.297436,0.883008,0.132296,0.394243,0.592814,0.653465,Baja
0.713921,0.297436,0.880223,0.229572,0.30413,0.580838,0.663366,Baja
0.702427,0.358975,0.153203,0.062257,0.339174,0.586826,0.653465,Baja
0.681992,0.369231,0.192201,0.108949,0.326658,0.568862,0.653465,Baja
0.65645,0.397436,0.35376,0.178988,0.461827,0.616766,0.653465,Baja
0.59387,0.448718,0.295265,0.326848,0.123905,0.688623,0.643564,Media
0.524904,0.517949,0.309192,0.459144,0.198999,0.760479,0.643564,Media
0.435504,0.692308,0.286908,0.466926,0.232791,0.748503,0.643564,Media
0.348659,0.812821,0.448468,0.51751,0.257822,0.826347,0.643564,Media
0.326948,0.710256,0.498607,0.280156,0.276596,0.814371,0.643564,Media
0.315453,0.689744,0.529248,0.404669,0.325407,0.814371,0.643564,Media
0.312899,0.815385,0.518106,0.486381,0.418023,0.790419,0.633663,MuyAlta
0.309068,0.887179,0.48468,0.486381,0.698373,0.820359,0.633663,MuyAlta
0.278416,0.917949,0.479109,0.649805,0.765957,0.814371,0.633663,MuyAlta
0.297573,0.733333,0.571031,0.579767,0.881101,0.796407,0.633663,MuyAlta
0.394636,0.638462,0.690808,0.677043,0.609512,0.748503,0.633663,MuyAlta
0.494253,0.625641,0.64624,0.525292,0.685857,0.766467,0.623762,MuyAlta
0.553001,0.666667,0.696379,0.307393,0.56821,0.760479,0.623762,Moderada
0.545338,0.666667,0.529248,0.284047,0.590738,0.760479,0.623762,Moderada
0.422733,0.669231,0.314763,0.455253,0.514393,0.748503,0.623762,Moderada
0.381865,0.679487,0.337047,0.509728,0.439299,0.772455,0.623762,MuyAlta
0.43295,0.68718,0.679666,0.719844,0.489362,0.598802,0.613861,MuyAlta
