@relation 'AlturaOla-Test-weka.filters.unsupervised.attribute.Remove-R8,11-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R10'

@attribute air numeric
@attribute pres numeric
@attribute rhum numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute DPD numeric
@attribute APD numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}

@data
275.199982,98720,58,-4.1,-1.399997,107,1.9,11.43,8.18,Moderada
275.700012,98260,65,-6.4,-6.499999,38,6.3,10,7.94,Media
276.599976,97900,72,-5.799998,-9.7,40,7.5,9.09,6.53,Media
275.700012,97690,87,-2.399998,-14.3,18,8.2,10,5.6,Moderada
275.200012,97790,86,4.200002,-15.599998,351,11.1,5.56,5.36,Moderada
275.299988,98130,73,10.400002,-13.6,319,12.1,6.67,5.65,Moderada
274.299988,98550,74,10.800001,-8.199999,303,11.4,7.14,5.76,Moderada
273.200012,98850,67,9.3,-5.5,293,11.2,7.69,6.51,Moderada
273.299988,99100,63,8.400002,-6.5,300,10.6,8.33,6.81,MuyAlta
274.100006,99320,59,5.4,-10.399999,325,13.5,11.43,7.84,MuyAlta
274.700012,99620,61,3.500001,-12.299998,333,11.3,10.81,7.37,MuyAlta
274.899994,99860,67,0.8,-12.4,354,10.2,9.09,7.16,Moderada
275.099976,99970,61,-2.299999,-10.999998,12,8.1,8.33,6.58,Media
275.299988,99870,55,-3.199997,-8.9,15,8.6,7.69,6.08,Media
275.599976,99810,67,-4.499999,-7.8,36,5.6,16,6.62,Media
275.699982,99500,73,-5.099998,-8.199999,33,9.5,14.81,6.27,Media
276.199982,99490,66,-3.799997,-5.7,49,7.2,13.79,6.42,Moderada
276.700012,99490,50,-1.999998,-5.7,30,4,9.09,6.97,Media
276.799988,99660,48,-3,-7.299998,14,6.1,12.12,6.27,Media
276.899963,99670,68,-1.8,-9.1,11,5.4,12.12,7.31,Media
276.700012,99760,83,2.6,-8,7,3.8,10.81,7.28,Moderada
276.399994,100040,85,10.9,-5.6,304,12,10,6.47,Moderada
274.700012,100250,74,13.400003,-0.2,266,10.3,9.09,5.93,Moderada
273.399994,100550,74,7.800002,6.900002,226,7.7,8.33,6.26,Media
276.299988,100240,74,-3.399998,15.1,176,10.9,9.09,5.41,Moderada
278.200012,99740,97,-1.599998,15.900002,169,12.5,7.69,6.05,MuyAlta
279.299988,99540,96,1.300002,8.9,192,6.9,13.79,7.74,Moderada
278.299988,99250,100,0.800002,6.500001,164,4.7,10.81,7.93,Moderada
278.899963,99170,93,0.9,5,168,4.3,11.43,7.96,MuyAlta
278.799988,99170,90,2.500001,7.2,197,4.1,12.9,9.12,MuyAlta
278.700012,99360,86,2.6,11.500002,202,9.2,17.39,9.49,MuyAlta
278.299988,99800,90,5.8,12.000002,198,9.9,19.05,10.26,MuyAlta
278.399994,100000,83,-1.7,12.600001,186,10.6,16,8.87,MuyAlta
279.199982,98810,90,-14.199999,14.700002,130,17.8,11.663012,7.671493,MuyAlta
277.799988,99130,100,8.400002,13.6,204,11.4,11.43,8.58,MuyAlta
278.600006,99990,77,-0.2,11.700003,200,10,11.43,8.14,MuyAlta
278.699982,99930,83,-8.799998,9.3,150,9.4,10.81,7.97,Moderada
279.899994,98020,90,-7.1,-2.599997,61,13.5,10.81,6.92,MuyAlta
277.799988,98670,93,19.700001,13.400002,255,19.9,10,6.9,MuyAlta
277.899963,100170,71,6.700003,10.8,226,12.7,10,7.87,MuyAlta
278.499969,100170,74,-6.8,2.200001,167,4,12.12,8.08,Moderada
279.200012,98790,86,-1.8,-15.1,24,11.6,11.43,7.75,MuyAlta
277.100006,99280,96,17.300001,-0.4,307,18.6,7.14,6.61,MuyAlta
276.5,100440,64,11.600001,-3.1,274,12.1,8.33,7.02,Moderada
276.200012,101230,60,7.700002,-3.6,290,8.2,11.43,7.01,MuyAlta
276.200012,101800,53,6.800002,-3.9,325,11,8.33,7.23,Moderada
276.299988,102240,70,7.3,1.600002,276,8.9,9.09,6.92,Moderada
276.799988,102640,82,9.400002,-0.299998,266,10.8,11.43,6.7,Moderada
277.499969,103190,84,8.800001,-0.599998,286,11.3,10,6.54,Moderada
276.399963,103520,78,6.800002,1.500003,264,10.2,9.09,6.71,Moderada
276.299988,103840,84,5.700002,2.4,246,9.8,10.81,6.53,Moderada
275.999969,103900,87,5.200002,1.9,266,5.1,10.81,7.28,Moderada
276.600006,104010,79,4.4,1.6,261,4.2,10,6.98,Media
276.199982,103890,80,2.400002,1.9,245,4.6,10,7.18,Media
276.599976,103900,79,2.600002,2.9,228,3.1,10,6.83,Moderada
276.899963,103860,75,1.2,3.7,233,5.9,13.79,8.08,Moderada
277.100006,103790,70,-1.499998,3.3,215,4.5,14.81,8.87,Moderada
277.299988,103880,71,-2.8,2.5,164,1.5,12.9,8.98,Moderada
276.999969,103830,79,-5.499997,-2,155,0.8,11.43,8.5,Moderada
277.200012,103730,74,-4.4,-4.099998,70,3.7,12.9,9.21,Media
277.999969,103470,71,-4.199998,-5.799998,61,4.5,12.12,8.86,Media
277.299988,103340,74,-7.7,-6.1,48,6.8,12.12,6.58,Media
277.599976,103120,70,-7.5,-6.299998,48,7.5,11.43,5.79,Media
278.399963,102990,69,-7.499997,-7.099997,45,8.8,12.12,5.63,Media
279.399963,102800,68,-6.6,-6.7,53,8.5,5.88,5.02,Media
279,102800,78,-8.8,-7.299998,61,10.3,5.56,5.47,Moderada
277.999969,102680,70,-6.3,-8.999998,39,7.9,7.69,5.94,Media
278.100006,102620,62,-5.799998,-10.5,20,6.1,9.09,6.17,Media
279.299988,102230,63,-0.499998,-12.999998,353,7.7,8.33,5.71,Media
278.799988,102120,67,-3.3,-12.9,13,8.5,7.69,5.69,Media
278.599976,102020,71,-3.399997,-11.499998,15,6.7,7.69,6.03,Moderada
278.799988,102090,66,-4.9,-9.199999,4,6.8,8.33,6.14,Media
279.899963,101960,69,-0.3,-10.899999,356,7.5,9.09,6.43,Media
279.299988,101920,76,-2.499999,-9.7,349,7.6,8.33,5.59,Media
278.699982,101830,86,-1.199997,-7.1,22,3.9,9.09,6.4,Baja
278.699982,101750,77,-0.399998,-3.199997,354,0.8,13.79,6.18,Media
279.200012,101530,76,0.700002,-2.099998,98,2.1,8.33,6.65,Baja
278,101230,72,-0.3,0.8,189,3.1,7.14,6.09,Baja
277.399963,100980,76,0.8,-1.399998,131,3,8.33,6.31,Baja
277.5,101010,64,-5.799998,-2.2,95,5.3,6.67,5.81,Media
277.599976,101170,58,-7.6,-6.399999,71,8.8,5.26,4.78,Moderada
276.499969,101410,46,-10.5,-6.6,66,8.6,9.09,6.08,Media
276.199982,101550,48,-7.7,-8.7,42,8,8.33,5.82,Media
276.100006,101660,53,-5.8,-7.6,36,5.8,8.33,6.27,Media
277.099976,101710,64,-1.9,-8.199999,3,3.3,8.33,6.14,Media
276.599976,101860,64,-1.599997,-6.499999,348,5.9,7.14,5.21,Media
276.099976,101830,78,2.7,-4.999999,312,6,6.25,5.16,Baja
276.299988,101740,78,3.7,-4.5,304,4.4,5.56,4.93,Baja
276.199982,101330,81,6.1,-1.799999,285,8.6,6.67,5.02,Media
276.399963,100860,85,5.9,-1.499998,290,6.4,7.14,5.1,Media
276.099976,100260,92,7.500001,-1.3,294,7.1,6.67,5.25,Media
276.200012,99580,95,10.1,1.6,256,8.1,6.67,4.99,Media
276.399963,98960,89,12.100001,4.000001,225,7.9,7.14,4.84,Media
274.499969,98580,77,13.6,0.8,270,7.5,7.69,5.56,Moderada
274.399994,98680,77,17,-1.999998,280,14.5,9.09,6.16,MuyAlta
274.699982,99020,74,15.000002,-2.2,287,14.1,11.43,7.49,MuyAlta
275.600006,99430,73,12.200002,3.900002,262,12.7,10.81,6.89,MuyAlta
277.499969,99460,86,8.500002,9.400002,241,10.8,10,6.85,MuyAlta
278.299988,99080,94,3.2,16.400002,194,12.2,10.81,6.83,MuyAlta
277.700012,98500,97,9.900002,8.500002,237,11.5,10.835044,7.040209,Moderada
277.100006,98960,79,7.100001,-0.899998,291,5.9,10,7.58,Moderada
276.299988,99560,93,2.9,6.7,265,4.1,12.12,7.88,Moderada
278.499969,99810,91,-0.799998,15.100003,176,6.8,11.43,7.98,MuyAlta
278.299988,99390,92,-7.299998,18.1,160,14.1,12.12,7,MuyAlta
279.999969,98920,87,-4,16.800001,160,15.3,10.81,7.52,MuyAlta
280.100006,98520,99,-3.299999,20.6,176,14.5,11.43,7.49,MuyAlta
279.700012,98620,97,-6.9,16.500002,175,15.6,12.9,7.79,MuyAlta
278.999969,98170,100,-10.7,15.3,158,14.9,12.12,8.07,MuyAlta
279.799988,97350,97,-9.4,13.800001,145,16.7,12.12,8.8,MuyAlta
278.199982,97600,100,3.700001,16.100002,193,13.1,12.9,8.92,MuyAlta
279,98240,87,-3.799999,6.9,183,9.2,12.12,8.8,MuyAlta
278.399994,97700,100,-2.599998,5.100001,131,7.4,12.12,8.49,MuyAlta
277.399994,97840,88,10.900002,0.800002,274,10.9,11.43,8.2,MuyAlta
276.199982,98480,76,13.9,1.900002,278,12.1,10.81,7.1,Moderada
276.099976,99100,69,7.8,4.900002,236,9.5,10.81,6.9,Moderada
275.799988,99420,71,2.7,9.300001,207,9.3,11.43,6.28,Moderada
276,99460,73,3.2,6.1,161,5,10.81,7.07,Moderada
276.600006,99460,79,4.100001,2.200001,204,6.9,10,6.86,Moderada
276.700012,99470,82,5.700002,4.900002,224,7.5,10.81,7.54,Moderada
277.5,99680,80,5.500001,7.800002,218,6.9,10,7.67,Moderada
277.299988,99990,88,4.300002,8.5,229,7.3,11.43,7.67,Moderada
277,100210,93,4.000001,7.5,212,6.9,11.43,7.01,Moderada
276.899963,100380,89,3.4,5.5,215,6.1,10.81,7.39,Moderada
277.5,100420,86,3.800003,5.8,211,5.1,10.81,7.43,Media
277.200012,100340,80,1.500002,3.1,194,4.1,9.09,6.93,Media
276.699982,100290,85,-0.299998,1.800002,212,2.3,10.81,7.41,Media
276.5,100280,76,-0.599998,-1.999998,251,3,10,7.3,Media
277.299988,100230,76,-1.299999,-1.099998,351,1.9,10,7.5,Media
276.499969,100250,80,-0.499998,-2.3,0,1.9,8.33,7.29,Media
277.199982,100280,83,2.3,-4.899999,324,3.6,8.33,7.65,Baja
277.099976,100340,68,-0.399998,-6.099998,7,3.5,14.81,6.95,Media
278.600006,100380,63,0.5,-6.4,347,5.6,12.9,6.53,Media
277.600006,100460,62,-1.3,-6.899999,23,5.1,12.12,6.47,Media
277.099976,100670,64,-0.2,-6.9,351,7,10.81,6.25,Baja
276.999969,100860,66,-0.5,-7.1,344,8.3,11.43,4.7,Media
276.600006,101140,63,0.2,-4.899999,325,5.1,10.81,5.87,Media
276.199982,101330,57,3.2,-1.599998,207,2.9,10.81,6.53,Media
275.100006,101550,67,8.3,-3.999999,260,9.9,6.25,5.05,Moderada
274.299988,101810,66,10.3,-5.499999,310,11.6,7.69,5.77,Moderada
274.699982,102240,70,9.8,-6.599998,298,9.9,10,5.87,Moderada
274.5,102650,76,7.6,-4.5,304,8.7,8.33,6.04,Media
275.200012,102930,81,5.1,-0.1,272,3.5,7.69,5.56,Baja
276.599976,102630,86,7.4,7.8,221,8.3,6.67,4.54,Media
277.799988,102540,93,10.400002,0.8,274,9.5,6.25,4.66,Moderada
277.799988,102750,88,8.4,-8.199999,300,10,9.09,6.94,Moderada
277,103130,90,3.900002,-8.399999,342,9.1,8.33,7.12,Moderada
277.299988,103360,79,1.200001,-6.799998,12,6.2,8.33,6.85,Media
276.899963,103510,80,3.3,-5.399999,318,4.4,14.81,7.54,Media
276.899994,103600,84,4,-5.7,299,5.8,12.9,7.84,Media
276.899963,103650,88,5.400002,-4.199998,287,6.2,11.43,7.3,Moderada
277.399994,103590,92,8.000002,-4.4,303,8.4,13.79,6.27,Media
277.899963,103520,91,8.4,-4.1,290,9.5,12.9,5.49,Moderada
277.299988,103340,93,10.9,-1.499998,282,11.2,14.81,6.78,Moderada
277.5,103030,87,14.1,-5.499999,297,13.4,14.81,6.38,MuyAlta
278.5,102990,72,11.9,-10.999998,312,13.6,8.33,6.83,MuyAlta
279,103060,74,6.200002,-12.4,337,10.5,10,7.26,Moderada
277.600006,103330,81,4.200002,-9.799998,319,8.7,9.09,6.81,Moderada
277.199982,103120,87,7.2,-5.899999,306,9.9,13.79,6.47,Moderada
277.200012,102780,76,10.700002,-4.2,290,11.3,12.12,6.19,Moderada
277.399963,102320,84,12.900002,-5.6,295,11.1,7.14,5.67,Moderada
277.299988,102070,90,10.1,-9.5,321,10.1,8.33,6.47,Moderada
277.399994,101870,90,10.500002,-7,310,9.7,8.33,5.86,Moderada
277.799988,101600,83,11.3,-3.8,299,9.7,8.33,6.01,Moderada
277.899963,101120,89,12.3,-2.7,288,10.5,8.33,5.76,Moderada
276.799988,100690,91,13.600001,-2.899998,292,9.9,8.33,5.86,MuyAlta
273.799988,100440,83,19.1,-7.2,290,16.9,9.09,6.81,MuyAlta
272.799988,100350,71,18.9,-4.699998,287,17.2,10,8.47,MuyAlta
273.599976,100310,75,20.4,-2.799999,284,15,12.12,7.92,MuyAlta
272.899963,100520,68,16.200001,0.500002,258,14.6,10,7.56,MuyAlta
274,100700,70,14.5,3.200001,266,13.1,10.81,6.91,Moderada
273.299988,100630,65,11.1,6.200002,242,9.1,9.09,6.31,Moderada
273.499969,100350,63,4.800002,4.200003,213,8.7,9.09,6.39,Media
274.5,99740,72,3.3,0.4,236,1.2,9.09,6.47,Media
274.200012,99390,65,10.900002,-0.8,280,6.9,7.14,5.85,Media
274.799988,99100,64,13,3.1,268,11.1,7.14,4.87,Moderada
276.200012,99100,72,11.9,-7.6,323,13.6,9.09,6.58,MuyAlta
275.399963,99440,70,13.9,-8.9,305,13.8,8.33,6.59,Moderada
275.199982,99620,78,11.2,-5.9,288,9.2,8.33,6.72,Moderada
275.799988,99990,76,5.7,-6.9,330,7.8,11.43,6.71,MuyAlta
277.399963,100300,69,0.7,-11.6,5,12.4,12.12,7.76,MuyAlta
276.600006,100850,76,-1.6,-12.2,18,12.1,10.81,7.88,Moderada
275.100006,101260,79,-1.499998,-9.399999,351,9,10,7.18,Moderada
274.600006,101380,71,2.400002,-8.2,319,10.1,7.69,6.38,Moderada
275.399994,101020,60,7.9,-6.099997,321,9.7,9.09,6.5,Moderada
274.499969,100930,78,4.6,-8.899999,343,9.5,7.14,5.63,Moderada
274.5,100780,79,3.300002,-8,335,7.7,7.69,6.16,Moderada
274.399963,100700,73,3.200001,-8.699999,299,8.8,9.09,6.4,Moderada
275.299988,100510,58,7.100001,-8.299998,327,10.9,8.33,5.83,Moderada
274.5,100380,70,7.800002,-8.099998,324,10.5,8.33,5.92,MuyAlta
274.399963,100060,59,1.700001,-11.499998,298,15.2,9.09,6.87,MuyAlta
274.100006,100350,60,-2.6,-11.899999,40,11.8,10,7.24,MuyAlta
273,100740,68,-1.099997,-11.899999,55,7.1,10,7.23,Moderada
272.5,101010,72,0.100002,-9.199999,344,7.1,9.09,6.37,Moderada
271.499969,101190,74,-0.2,-9.699999,333,5.2,7.69,6.63,Moderada
272.199982,101220,72,-0.899998,-8.8,25,9.6,9.09,6.2,Media
272.299988,101400,73,-0.499998,-8.899997,356,4,9.09,5.68,Media
271.599976,101560,75,0.4,-4.7,40,5.1,7.69,5.6,Media
272.199982,101680,73,3.000001,-3.9,288,3.6,7.69,6.09,Baja
272.599976,101730,62,0.300002,-2.999999,325,5,7.14,5.32,Media
272.699982,101890,63,0.2,-4.6,20,8.1,9.09,6.02,Media
272.799988,102030,65,-3.099998,-2.499999,49,3.6,8.33,6.43,Media
273.200012,102090,75,-5.899999,-3.1,67,8.4,7.14,6.39,Media
274.5,102070,72,-11.099998,-2.9,76,9.8,7.69,5.15,Moderada
274.5,102170,70,-10.199999,-7.4,58,10.7,7.14,5.76,Moderada
273.399994,102160,77,-9.799998,-6.6,50,10.4,7.69,5.59,Moderada
273.799988,102070,75,-8.899999,-7.999999,50,10.3,7.14,5.61,Media
274.700012,102100,76,-9.899999,-4.6,74,9.2,8.33,5.38,Media
275.199982,102030,68,-9.4,-5.099998,80,6.2,7.69,5.32,Media
274.700012,101880,69,-12.399999,-5.9,68,6.7,7.69,5.19,Moderada
274.600006,101550,76,-14.5,-6.3,88,9.6,7.14,5.37,Moderada
273.799988,101210,57,-13.199999,-10.599998,58,11.3,8.33,5.95,Moderada
274.099976,100840,50,-9.699999,-11.5,49,10.2,8.33,6.2,Moderada
273.499969,100600,64,-8.899999,-9.599998,44,9.3,10,6.18,Moderada
274.200012,100120,69,-9.899999,-9.499998,59,10.3,10,6.28,Moderada
274.799988,99580,73,-8.799998,-12.5,52,12.7,9.09,5.99,MuyAlta
275.600006,99200,80,-3.9,-15.899999,30,13,9.09,6.84,Moderada
274.5,99470,86,1.800002,-11.399997,358,9.4,8.33,6.33,Media
273,99780,80,8.400003,-3.599998,286,5.6,9.09,6.28,Media
273.899994,99940,58,6.3,4.000003,243,7.6,9.09,6.39,Moderada
274.999969,99780,56,4.900002,6.4,226,10.8,11.43,6.96,Media
275.199982,99450,63,2.000001,3.100002,208,7,10,6.39,Media
274.399994,99020,71,5.200002,1.600002,231,6.5,10.81,6.62,Media
273.899963,98850,68,5.500003,2.3,256,5.3,10.81,7.29,Media
273.700012,98820,77,8.000002,3.600002,229,5.7,11.43,6.73,Media
275.099976,98960,70,3.400002,3.900002,208,5.8,11.43,6.38,Media
275.199982,98880,66,4.000001,0.7,162,2.2,10.81,6.6,Media
275.099976,98860,62,4.400002,0.500002,109,2,7.69,6.69,Media
274.299988,98950,65,8.100001,-0.3,132,1.9,10,6.37,Media
274,99350,65,7.700002,1.500003,264,6.5,9.09,6.22,Media
273.5,99570,66,5.700002,2.100003,252,8.2,9.09,5.54,Media
273.399994,99940,69,-1.699998,1.500003,162,7.5,7.14,6.59,Media
274.700012,99910,64,-2.9,-3.4,80,4.5,9.09,6.19,Media
275.399994,100000,69,-3.7,-7.099997,41,7.7,9.09,6.03,Media
275.299988,99960,77,0.000002,-9.299997,4,9.2,10,5.49,Media
276.299988,99760,75,-0.799998,-6.3,14,4.8,10,6.31,Media
276.799988,99710,74,-3,-5.699998,48,9.2,7.69,5.74,Media
275.899963,99910,71,-2.599998,-6.099998,75,4.8,9.09,5.96,Media
275.699982,99990,79,0.100002,-7.199998,349,2.2,8.33,5.98,Media
275.799988,100280,77,2.200001,-4.899999,285,1.3,8.33,5.93,Media
275.899994,100520,70,4.600003,-1.5,310,6,7.14,5.52,Media
274.700012,100760,86,3.2,4.100001,231,6.2,9.09,5.8,Media
274.899963,100940,91,4.800002,6.4,226,6.8,5.88,4.66,Media
276.099976,101150,82,4,7.700002,196,10,6.25,4.73,Media
276.399994,101350,86,5.300002,8.3,207,11.5,6.25,4.94,Media
277.5,101550,79,3.600002,8.9,196,11.4,7.14,5,Media
277,101570,87,0.6,6.900002,213,8.6,6.67,5.28,Media
277.399994,101340,91,-2.5,6.8,198,5.3,7.14,5.38,Media
277.700012,100960,95,-4.099998,8.700002,158,6.7,5.56,5.06,Media
277.399963,100680,100,-1.099997,7.700002,198,5.5,5.88,5.3,Media
276.700012,100350,100,-2.599998,5.100001,177,5.8,13.79,5.99,Media
276.999969,100030,96,-4.699997,4,152,5.2,12.9,5.65,Media
277.099976,99900,96,-3.4,2.900002,136,8.7,10,5.51,Media
277.5,99870,84,-5.9,-2.2,109,7.1,10,5.74,Media
276.799988,99820,93,-2.199998,-2.099998,45,6.6,10,6.46,Media
277.299988,99920,74,-1.899998,-4.3,33,3.2,10,6.4,Baja
277.700012,99940,70,1.100002,-1.599998,320,2.6,9.09,6.49,Baja
277,100040,72,-0.999998,-2.399998,342,2,8.33,6.33,Baja
276.299988,100100,90,0.5,-0.299998,327,1.6,12.9,6.16,Baja
276.700012,100220,86,1.1,-0.599998,116,0.4,12.12,6.19,Baja
276.799988,100410,71,2.3,-1.499997,191,0.1,12.12,6.47,Baja
276.099976,100420,76,-0.099997,-2.199998,109,2.6,8.33,6.05,Baja
275.399994,100450,94,3.000001,-6.699998,11,3.8,7.69,5.94,Baja
275.799988,100510,77,2.8,-6.3,30,4.5,13.79,5.78,Baja
276.5,100600,66,8.5,-5.2,296,7.1,8.33,4.88,Baja
275.899994,100600,62,5.1,-2.5,299,6.1,12.9,5.09,Media
275.399994,100490,73,7.000001,0.6,303,4.8,10.81,6.28,Baja
275.199982,100350,69,2.9,2.400002,252,4.7,10,5.38,Baja
275.600006,100240,69,-1.999998,3.9,164,3.3,10,5.92,Baja
276.299988,100100,68,-9.5,0.000003,106,5.2,10,6.05,Baja
276.299988,99800,84,-9.1,-6.099998,59,5.1,10,6.02,Baja
277,99810,92,-7.3,-7,61,5.6,11.43,5.02,Media
277.399963,99880,92,-4.799998,-5.699998,40,4.7,17.39,7.28,Moderada
277.299988,99870,88,-1.8,-2.6,40,3,17.39,8.56,Moderada
276.299988,99710,97,2,-0.7,289,4.9,10,8.92,Moderada
276.600006,99710,83,3.100002,2.5,252,4.3,10,8.95,Moderada
277.100006,99800,79,5.400002,7.500001,180,7,16,9.1,Moderada
278,100120,82,3.700001,9.1,208,6.3,16,7.28,Moderada
277.499969,100170,97,0.100002,11.6,189,9.1,16,7.08,Moderada
278,100020,91,-3.7,12.600001,160,9.8,13.79,6.38,Moderada
277.700012,100210,94,5.300002,7.400002,213,6.6,10.835044,7.040209,Moderada
277.100006,100360,95,5.700002,3.400002,251,7.1,12.12,6.89,Media
277.200012,100680,77,5.700003,-0.499998,288,6.7,9.09,6.55,Media
277.299988,101040,61,8.200002,-0.7,260,7.4,9.09,5.97,Media
275.999969,101380,63,3.100002,1.500002,247,7.4,10.81,6.59,Media
276.799988,101080,78,-4.399999,8.300003,164,6.7,10.81,7.11,Moderada
277.299988,100120,94,-13.699999,13.000002,136,14.2,5.88,5.31,MuyAlta
278.399994,99400,99,-0.3,14.900002,166,12.1,9.09,6.91,MuyAlta
278.899963,99470,95,3.900003,9.6,187,8.9,10,7.4,Moderada
278,99600,100,0.000002,12.700002,183,9.2,10.81,6.72,Moderada
278.399994,99610,96,2.1,15,178,9.6,10,6.83,Moderada
