@relation 'AlturaOla-weka.filters.unsupervised.attribute.MathExpression-E100*A-R1-10,12-15-unset-class-temporarily-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-R2-12-unset-class-temporarily'

@attribute air numeric
@attribute pres numeric
@attribute rhum numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}

@data
13.450006,101210,91,7.699997,5.800003,260,2.8,3.5,9.09,6.12,101000,13.7,-258.95,-260.95,Media
13.85,101430,82,8.300003,3.199997,235,4.8,5.7,8.33,6.38,101260,13.9,-258.95,-260.95,Media
14.149988,101690,82,6.900009,5.5,236,6.7,7.7,9.09,5.91,101540,14.3,-258.75,-261.05,Baja
13.649988,101710,87,6.199997,7.5,211,7,8.3,8.33,5.12,101660,14,-258.65,-261.45,Media
13.250024,101790,88,6.800003,7.100006,203,8.4,9.6,6.67,4.99,101720,14,-258.65,-261.45,Media
13.250024,101820,86,5.800003,6.400009,202,6.6,7.7,6.67,5.09,101750,13.5,-258.75,-261.45,Media
13.85,101780,84,3.900009,5.600006,188,7.6,9.1,6.67,4.7,101760,14,-258.75,-261.25,Baja
13.050012,101560,95,4,3.300003,170,6.4,7.3,6.67,4.6,101610,13.7,-258.65,-262.05,Baja
13.450006,101490,91,3.900009,1.400009,182,4.2,5.2,6.67,5.12,101490,13.1,-258.85,-261.05,Baja
13.35,101410,94,4,1.800003,181,4.3,4.9,6.25,4.9,101370,13.9,-258.45,-261.25,Baja
12.85,101380,96,1.699997,6,177,4.8,5.3,12.12,4.91,101320,14.4,-258.55,-261.05,Baja
13.149988,101100,97,0.199997,9.5,169,7.5,9,11.43,4.02,101100,14.2,-258.35,-260.95,Baja
13.35,100880,98,-1.800003,11.300003,163,9.1,10.7,5.26,4.22,100830,13.9,-258.75,-260.35,Media
13.250024,100570,99,-2,11.600006,171,10.3,12.2,5.88,4.8,100540,14.1,-258.75,-260.15,Moderada
14.050012,100360,93,-3.300003,13.900009,151,11.8,14.3,7.69,5.55,100340,14.1,-258.75,-260.15,Moderada
13.649988,100110,98,-3.699997,11.900009,161,10.6,13,8.33,6.48,100130,14.2,-258.85,-259.45,Moderada
13.85,99870,99,-3.599991,8.100006,140,9.1,10.8,8.33,6.56,99980,14.2,-258.85,-259.45,Moderada
14.050012,99960,97,3.400009,5.900009,183,5.4,6.6,8.33,6.2,99890,13.6,-258.85,-259.95,Media
14.050012,100150,98,1.199997,6.800003,169,6.5,8,9.09,6.58,100110,14.6,-258.65,-259.55,Media
14.050012,100100,99,-3.599991,6.400009,151,6.7,7.9,7.69,6.16,100180,14.3,-258.65,-259.15,Media
14.149988,99940,99,-3.800003,5.900009,114,6.6,8,7.69,6.04,100030,14.5,-258.65,-258.85,Media
14.85,99950,94,1.100006,10.400009,147,8.5,10.1,7.69,5.81,99870,14.7,-258.65,-258.65,Media
14.35,100440,91,5.199997,13.100006,197,9.5,11.9,8.33,5.43,100270,14.9,-258.55,-260.15,Moderada
14.149988,100750,89,-0.399994,10.5,159,7.7,9.3,9.09,5.95,100660,14.9,-258.55,-259.85,Media
14.050012,100910,92,-2.099991,9.400009,159,7.4,8.8,8.33,5.82,100840,14.6,-258.65,-260.25,Media
14.050012,101000,92,-0.399994,7,154,6.1,7.5,9.09,6.12,100930,14.6,-258.65,-261.15,Media
13.649988,100990,93,1.900009,6,178,5.8,7.1,9.09,6.28,100920,14.7,-258.35,-260.85,Media
13.550012,101060,93,5.699997,5.100006,186,5.4,6.7,10,6.59,101000,14.5,-258.45,-260.15,Media
13.950006,101160,92,-0.599991,6.800003,187,4.9,6.1,10,6.06,101040,14.8,-258.45,-260.65,Media
14.250024,101110,91,-0.300003,10.400009,157,6,7.3,9.09,5.92,101090,14.7,-258.45,-259.55,Media
14.550012,100990,94,-3.099991,10.199997,155,9.9,12.2,8.33,5.11,100950,14.4,-258.45,-260.15,Media
13.85,100840,100,1.100006,11.100006,184,8.6,10.2,5.88,5.5,100780,14.3,-258.45,-259.45,Media
14.149988,100730,97,2.900009,9.900009,177,8.1,9.6,6.67,5.41,100630,14.5,-258.55,-259.25,Media
14.750024,100810,92,2.900009,9.5,187,8.7,10.9,8.33,5.32,100720,14.7,-258.55,-259.35,Media
14.450006,100860,96,-0.300003,9.199997,170,7.6,8.4,9.09,5.69,100860,14.6,-258.55,-259.15,Media
14.550012,100680,96,-3.099991,10.5,152,9.1,10.7,8.33,5.36,100720,14.7,-258.55,-258.95,Moderada
13.750024,100660,99,2.800003,10,191,10.4,13.2,8.33,5.87,100610,14.6,-258.55,-259.65,Media
14.450006,100790,91,-0.399994,3.100006,209,3.7,4.9,10,6.61,100760,13.9,-258.65,-260.75,Media
14.35,100650,93,0.900009,3.699997,228,0.8,1.4,8.33,7,100670,12.9,-258.55,-262.35,Media
13.750024,100800,94,6.600006,4.300003,205,6.2,7.3,7.14,6.6,100730,14.2,-258.55,-260.95,Media
13.649988,101010,91,6,4.800003,197,6.3,7.7,7.69,5.99,100910,14.4,-258.55,-260.35,Media
13.649988,101300,86,4.699997,7,200,6.6,9.2,7.69,6.25,101150,13.9,-258.65,-260.85,Media
14.35,101560,86,2.699997,7.100006,207,6.1,7.3,7.69,5.87,101380,14.7,-258.35,-260.95,Media
13.750024,101590,95,1,7.400009,193,6.2,7.2,7.14,6.12,101570,14.5,-258.35,-260.55,Media
13.649988,101460,92,-1.899994,12.400009,171,9.3,11.2,8.33,5.47,101440,14.5,-258.45,-261.15,Moderada
14.250024,101220,95,0,14.300003,164,13.4,16,7.14,5.38,101140,14,-258.55,-260.45,Moderada
12.550012,101100,100,3.800003,12.400009,197,9.3,11.5,8.33,6.55,101040,14.8,-258.65,-259.15,Moderada
14.85,100900,98,2.400009,11.699997,182,8.4,10.5,9.09,6.67,100860,14.7,-258.85,-258.85,Moderada
14.85,100620,98,8.800003,13.800003,191,11.7,14.1,10,5.95,100510,14.9,-258.75,-258.65,Moderada
14.450006,100950,91,12.199997,8,238,11.8,14.5,10,6.57,100640,14.4,-259.05,-260.55,Moderada
13.450006,101330,90,9.600006,4.100006,231,9.1,10.7,8.33,6.22,101110,14.5,-259.15,-260.45,Moderada
13.950006,101640,87,9.600006,2.600006,247,7.1,8.9,10.81,6.86,101420,14.5,-259.15,-260.15,Media
13.550012,101800,89,9.199997,3,252,6,8.4,9.09,6.48,101630,14.5,-259.15,-260.55,Media
13.750024,101930,90,7.900009,1.100006,254,6.9,7.9,8.33,6.01,101760,14.1,-259.15,-261.15,Media
14.149988,102040,87,8.800003,0.699997,261,6.5,7.8,9.09,6.08,101930,14.4,-259.05,-261.15,Media
14.250024,102050,85,7.300003,0.400009,269,3.9,4.9,9.09,5.88,101880,14.2,-259.05,-260.65,Media
13.35,101960,85,5.400009,1.600006,258,4.7,6.4,9.09,5.83,101860,14.2,-259.05,-262.65,Baja
13.649988,101920,74,3.100006,1.400009,223,4.5,5.2,9.09,5.42,101790,13.9,-259.05,-261.95,Baja
13.450006,101760,73,0,1.400009,240,2.2,2.6,6.67,5.28,101800,14.2,-258.75,-262.45,Baja
14.149988,101560,76,-5.300003,1,120,2,2.4,8.33,6.81,101610,14,-258.65,-262.45,Baja
13.35,101500,86,-4.899994,-1.300003,97,4.4,5.4,9.09,6.61,101580,14,-258.95,-262.25,Baja
13.950006,101610,78,-5.5,-4.399994,40,4.4,5.3,8.33,4.96,101650,14.2,-258.85,-261.65,Baja
13.85,101790,82,-4.300003,-6.300003,13,4.2,5.1,6.67,5.44,101840,14.4,-258.75,-260.65,Baja
13.450006,102030,89,-0.800003,-7.199997,340,3.5,4.4,7.14,5.66,101990,14.4,-258.75,-260.55,Baja
13.450006,102320,91,2.199997,-5.399994,332,3.1,3.8,14.81,5.86,102230,14.4,-258.85,-260.25,Baja
14.050012,102530,89,3.5,-4.599991,318,3,3.5,6.25,5.26,102420,14.4,-258.85,-260.45,Baja
13.950006,102670,86,2.5,-2.199997,294,3.1,3.7,14.81,5.91,102590,14.8,-258.35,-260.45,Baja
13.950006,102630,82,3.199997,1,257,3.1,3.7,14.81,6.21,102570,14.5,-258.35,-260.25,Baja
13.649988,102620,84,2.199997,1.400009,244,3.8,4.5,13.79,6.04,102560,14.2,-258.55,-260.95,Baja
13.550012,102430,91,-1.300003,4.600006,144,2.2,2.7,14.81,6.7,102420,13.9,-258.55,-261.65,Baja
13.750024,102230,89,-3.800003,3.5,142,2.7,3.4,13.79,4.18,102360,13.8,-258.55,-262.05,Baja
13.550012,102160,91,-1.899994,-2.599991,79,5.1,5.8,5.26,3.92,102260,13.6,-258.55,-261.15,Baja
13.649988,102360,87,3.199997,-4.599991,16,4.5,5.6,6.25,5.29,102370,14.1,-258.65,-260.85,Baja
13.649988,102480,84,-0.199997,-3.099991,332,1.3,1.7,7.69,5.41,102460,14.4,-258.55,-260.85,Baja
14.649988,102410,81,-3.199997,4.600006,169,2.6,3.2,7.69,5.97,102420,14.5,-258.15,-261.15,Baja
14.649988,101960,91,-1.699997,10.900009,142,7.7,9.9,6.67,4.06,102020,13.8,-258.55,-260.05,Media
14.050012,101430,100,4.5,11,185,5.5,6.4,5.88,4.84,101390,14.6,-258.65,-258.85,Media
15.750024,101140,92,8.800003,7.100006,219,7.6,9.2,6.25,4.61,101000,14.6,-258.65,-258.85,Baja
14.750024,101130,96,12.300003,4.699997,246,5.9,6.9,6.67,5.05,100960,14.5,-258.65,-259.05,Media
14.149988,101390,96,11.699997,0.800003,271,6.6,8.4,7.14,5.51,101170,14.8,-258.55,-259.25,Media
13.649988,101490,86,9.800003,-1,272,6.3,7.4,7.69,5.17,101360,14.4,-258.65,-261.75,Media
14.050012,101590,76,7.5,2.600006,227,6.5,8.1,8.33,5.76,101420,14.3,-258.65,-261.45,Media
13.950006,101470,77,8.5,5.699997,223,6.7,8.1,7.69,5.09,101350,14.4,-258.65,-261.95,Media
13.35,101390,85,10.5,7.400009,228,9.7,11.3,7.69,5.58,101240,13.9,-258.65,-262.25,Media
14.250024,101430,86,11.800003,5,235,9.4,11.2,8.33,5.44,101180,14.3,-258.65,-260.65,Media
14.149988,101570,89,10.699997,1.800003,265,7.4,9.2,9.09,6.15,101380,14.3,-258.75,-261.55,Media
14.450006,101710,88,10.5,1.5,267,6.4,7.6,10,5.92,101590,14.6,-258.55,-261.25,Media
13.950006,101790,90,8.100006,1,256,5.5,6.6,9.09,6.34,101720,14.3,-258.55,-261.45,Media
13.250024,101850,95,6.900009,1.5,231,5.3,6.8,10.81,6.58,101740,14.1,-258.55,-260.75,Media
13.750024,101940,90,8.100006,2.100006,259,5.9,7,10,6.24,101810,13.5,-258.65,-261.05,Baja
14.750024,101840,83,5.199997,6.600006,229,6.5,7.7,10,5.83,101730,14.5,-258.45,-260.75,Baja
13.35,101450,95,4.300003,10.600006,185,7.5,9,8.33,5.3,101430,14.4,-258.45,-262.65,Media
13.35,100930,95,1.800003,11.800003,165,11.1,13.6,5.88,4.93,100890,13.6,-258.55,-260.95,Media
13.450006,100400,95,2.600006,9.699997,170,8.4,9.8,7.14,5.56,100410,13.8,-258.65,-260.85,Media
13.649988,100070,92,4.100006,5,163,6.8,8.3,9.09,5.95,100110,14.3,-258.55,-261.65,Moderada
13.950006,99920,86,6.699997,-0.800003,230,0.3,0.8,10,6.88,100000,13.8,-258.45,-261.45,Media
13.050012,99920,93,9.199997,-2.199997,294,4.8,5.6,10,7.12,99910,13.6,-258.55,-262.15,Media
13.250024,100050,91,9.400009,-5.599991,289,6.8,8.4,9.09,6.53,100000,14,-258.55,-262.05,Media
13.950006,100280,87,10.5,-4.599991,296,7.6,8.7,9.09,6.27,100090,14.2,-258.45,-261.25,Media
13.750024,100530,86,11.199997,-3,288,9.6,11.7,9.09,5.61,100370,14.4,-258.55,-262.15,Media
13.450006,100660,88,11.800003,-1,273,8.6,10.3,9.09,5.64,100490,14.2,-258.55,-261.55,Media
13.85,100710,87,8.800003,3.199997,254,8.4,9.7,8.33,5.38,100570,14.1,-258.65,-263.15,Media
13.750024,100570,91,6.300003,5.699997,226,8.2,9.8,6.67,5.29,100510,13.8,-258.45,-261.55,Media
13.550012,100260,96,0.5,6.900009,179,6.4,7.4,7.69,5.36,100270,13.3,-258.55,-261.55,Baja
13.649988,100060,97,2.800003,0.199997,260,4.1,5,6.67,5.06,100090,13.4,-258.45,-260.55,Baja
14.050012,100350,90,7.100006,-3.800003,225,1.9,2.4,12.12,5.86,100240,14.1,-258.45,-261.05,Baja
14.85,100690,82,9.900009,-2.5,312,5.7,6.9,6.67,5.2,100410,14,-258.45,-260.45,Baja
13.750024,101010,86,9.600006,-4.5,291,8.2,9.4,7.14,4.96,100820,14.2,-258.45,-261.55,Media
13.550012,101240,85,12.199997,-1.5,287,8.5,9.7,9.09,5.67,101010,13.9,-258.55,-263.35,Media
13.85,101350,76,10.400009,-2,282,9.5,11.1,9.09,4.94,101200,13.9,-258.55,-265.85,Media
14.250024,101650,73,10.400009,-4.899994,290,9.3,11.4,8.33,5.55,101450,14.3,-258.45,-262.55,Media
13.649988,101980,77,9.699997,-4.899994,300,9.9,11.5,7.14,5.23,101780,14.1,-258.55,-262.65,Media
13.050012,102230,77,10.5,-2.399994,272,8.8,10.1,8.33,5.6,102020,14.1,-258.55,-263.05,Media
13.649988,102220,76,13.400009,-0.5,264,9.6,12.3,7.69,5.22,102030,14.2,-258.65,-262.85,Media
14.250024,102350,75,12.699997,0.900009,264,10.4,12.3,7.14,5.59,102100,14.4,-258.55,-261.85,Media
13.450006,102310,81,13,0.400009,273,9,10.5,8.33,5.48,102110,14.4,-258.65,-261.95,Media
13.450006,102350,84,9.400009,2.100006,258,8.9,10.3,7.14,5.42,102140,13.9,-258.75,-262.95,Media
14.35,102190,88,8.300003,4.5,237,7,8.1,8.33,5.53,102110,14.1,-258.85,-261.45,Media
14.250024,102150,97,4.5,4.300003,177,5.6,6.4,7.69,5.14,102010,14.3,-258.75,-259.55,Baja
14.550012,101980,99,4.900009,4.699997,230,5.3,6.3,7.14,5.24,101870,14.4,-258.75,-259.05,Media
14.250024,102070,100,8.800003,5.699997,223,9.3,10.4,5.88,4.62,101850,14.7,-258.75,-258.85,Media
15.149988,102130,94,8.600006,7.600006,233,8.3,10.1,5.88,4.79,101880,15.2,-258.75,-258.75,Media
15.050012,102110,93,9.100006,10.699997,212,10.3,12.7,6.25,4.77,101890,15.3,-258.65,-259.05,Media
14.550012,102080,98,7.900009,11.400009,207,10.8,13.2,7.14,4.8,101890,14.8,-258.65,-259.15,Moderada
14.550012,102050,95,6.199997,13.5,200,10.6,12.7,7.14,5.64,101860,15,-258.75,-260.15,Moderada
14.950006,101920,90,5.100006,12.800003,198,12.1,15.2,7.14,5.64,101720,14.9,-258.75,-259.45,Moderada
15.250024,101800,92,4.199997,12.900009,194,10.9,13.3,8.33,5.81,101680,15.1,-258.75,-259.15,Moderada
15.149988,101520,97,5.5,11.699997,191,11,13.6,8.33,5.47,101320,15,-258.75,-258.65,Moderada
14.050012,101490,100,7.5,6,233,7.5,8.9,9.09,6.06,101330,14.6,-258.75,-258.85,Media
14.050012,101490,99,4.800003,-0.099991,271,4.7,5.5,9.09,6.31,101410,14,-258.75,-259.35,Baja
14.35,101520,96,4.699997,-3.300003,280,5,6,7.69,5.73,101480,14,-258.55,-260.15,Baja
13.649988,101530,97,6.300003,-4.800003,278,5.6,6.6,8.33,5.59,101460,14.3,-258.65,-262.05,Baja
13.750024,101600,90,7.800003,-4.699997,270,5.1,6.1,7.14,4.77,101480,14.4,-258.65,-261.75,Media
13.550012,101680,88,10.300003,-2.300003,268,6.8,8.3,7.69,4.84,101510,14.3,-258.65,-261.95,Media
13.85,101800,87,10.699997,-1.899994,278,8.3,10,7.14,4.86,101640,14.6,-258.65,-261.35,Media
13.649988,101850,86,8,-2.199997,294,5.3,6.2,5.88,5,101730,14.2,-258.65,-260.95,Baja
13.450006,101950,86,6.400009,-2,286,5.3,6,6.25,4.76,101860,14.2,-258.65,-261.75,Baja
13.550012,101970,85,5.699997,-0.699997,268,3.2,3.9,7.14,5.53,101910,14.4,-258.65,-261.55,Baja
14.250024,102070,84,5.900009,2.400009,254,3.8,4.4,16,4.75,101990,13.9,-258.65,-261.95,Baja
13.85,102040,89,4.300003,2.300003,200,3.7,4.6,14.81,7.63,102010,13.6,-258.65,-261.75,Media
13.950006,102050,91,0.199997,4.5,150,4.2,5,12.12,8.57,102000,13.2,-258.65,-260.75,Media
14.149988,101970,94,-1.899994,5.900009,168,5.3,6.5,12.12,7.72,101960,13.9,-258.65,-260.45,Media
15.149988,101870,94,-5.099991,6.300003,159,6.5,7.6,10.81,6.12,101940,14.2,-258.55,-260.95,Media
14.85,101730,97,-2.899994,5.900009,135,8.4,10.1,12.12,5.29,101820,13.8,-258.65,-260.05,Media
14.149988,101810,99,3.199997,4.600006,174,4.8,5.6,10.81,5.99,101730,14.4,-258.65,-259.05,Media
13.750024,101930,95,7.800003,1.600006,226,4.3,5.1,11.43,6.52,101820,14.2,-258.65,-259.25,Media
14.950006,102130,78,9.699997,-2,285,7.3,8.7,10,5.76,101980,14.3,-258.55,-260.85,Media
13.649988,102320,74,7.600006,-1.899994,280,4.7,5.7,10,6.03,102200,14.2,-258.55,-260.95,Media
13.450006,102390,80,2.600006,0.199997,264,1.7,3.1,11.43,6.37,102350,14,-258.65,-262.05,Baja
14.050012,102410,84,-2.399994,5.699997,127,5.7,6.6,6.67,6.19,102420,14,-258.65,-261.25,Baja
14.550012,102270,95,-1.699997,9.600006,142,8.4,10,6.67,5.07,102320,14.6,-258.65,-260.05,Baja
14.649988,102240,98,-0.199997,12.100006,167,6.9,8.3,5.56,4.9,102240,14.8,-258.65,-258.55,Media
14.649988,102240,95,1.5,12,173,9.5,11.1,6.67,4.58,102150,14.8,-258.65,-258.55,Media
15.149988,102190,90,1.100006,13.199997,179,10,12.6,8.33,5.72,102120,15,-258.65,-258.55,Media
16.050012,102030,86,-0.899994,14.400009,165,9.9,11.6,8.33,5.4,101990,15.5,-258.55,-259.15,Moderada
14.550012,101860,94,-0.699997,13.699997,166,9.8,11.4,8.33,5.96,101840,15.2,-258.55,-259.15,Moderada
14.649988,101700,94,-0.800003,13.900009,164,10.2,12.7,9.09,5.97,101690,15,-258.55,-258.95,Moderada
14.450006,101530,96,-0.199997,11.400009,163,9.8,11.9,10,6.79,101510,14.8,-258.55,-258.85,Moderada
15.050012,101330,94,-2.699997,12.800003,162,9.4,11.2,10,6.3,101360,15.1,-258.45,-258.85,Moderada
13.750024,101160,100,0.100006,11.5,162,11.1,13.5,10,5.67,101120,15.2,-258.55,-258.85,Moderada
14.649988,101110,96,-1.599991,8.800003,159,10.5,12.5,9.09,6.06,101010,15.3,-258.55,-258.75,Media
14.050012,101110,100,-0.899994,7.800003,169,7.1,8.2,10,5.98,101020,14.8,-258.55,-258.55,Media
14.85,100880,96,-1.199997,8.400009,152,8.9,10.6,9.09,5.87,100810,15.3,-258.55,-258.55,Media
13.450006,100880,98,7.199997,8.5,246,7.6,9.5,12.12,5.84,100790,13.6,-258.55,-262.25,Moderada
13.750024,100960,89,3.800003,6.5,198,7,8.3,12.9,7.3,100900,14.4,-258.65,-261.35,Moderada
13.550012,101070,89,3.900009,4.400009,205,5.9,7.6,13.79,7.62,100970,14.4,-258.65,-260.75,Media
13.550012,101180,88,2.199997,2.199997,233,4.5,5.9,13.79,7.09,101310,14.6,-258.45,-262.25,Moderada
13.649988,101260,88,3.5,2.300003,222,4.6,5.8,12.9,8.45,101220,14.3,-258.55,-261.95,Media
13.149988,101370,90,4.300003,-0.399994,259,4.8,5.9,12.12,7.41,101290,14.3,-258.55,-261.45,Media
12.85,101340,87,3.400009,0.199997,228,3.1,4.6,10.81,7.84,101300,14.3,-258.55,-261.05,Media
13.85,101340,76,2.900009,1.199997,250,1.3,1.9,7.14,6.56,101300,14.5,-258.45,-261.45,Media
12.85,101020,85,0,6.800003,185,4.7,5.5,9.09,7.12,101010,14.3,-258.45,-262.05,Media
13.450006,100540,85,-3.199997,11.400009,162,7.9,9.5,7.69,5.17,100570,14.1,-258.55,-263.25,Media
13.149988,99940,99,-4.599991,13.600006,164,11.1,14.1,5.56,5.19,100000,13.7,-258.65,-261.55,Moderada
13.250024,99350,100,-4,11.400009,153,13.2,15.9,8.33,6.18,99450,13.2,-258.65,-260.75,Moderada
14.35,98640,100,-3.800003,10.600006,172,7.1,8.9,8.33,6.64,98840,14.2,-258.65,-259.45,Media
14.35,98010,100,-0.099991,13.300003,141,9.1,11.7,8.33,5.75,98190,14.4,-258.55,-259.35,Moderada
13.450006,97760,92,8.900009,8.600006,165,8.1,9.9,8.33,5.98,97700,14.6,-258.55,-260.15,Media
13.550012,98150,78,17.699997,6.100006,232,4.9,5.7,7.14,6.16,97640,14.7,-258.45,-260.25,MuyAlta
13.250024,98920,81,18.600006,7,262,14.3,18.3,11.43,6.59,98510,12.7,-258.65,-263.15,MuyAlta
13.149988,99700,81,17.300003,6.600006,247,13.8,17.1,9.09,7.58,99260,13.6,-258.75,-262.65,MuyAlta
13.550012,100240,75,11,9.600006,223,11.2,13.3,10,7.17,99940,14,-258.85,-262.95,Moderada
14.35,100570,74,1.199997,6.900009,219,7,8.5,11.43,7.13,100400,14.1,-258.85,-263.75,Moderada
13.250024,100340,84,-4.399994,-1.300003,154,5.1,6,10,7.64,100400,13.8,-258.85,-262.35,Media
12.250024,100250,90,2.900009,-3.300003,120,0.5,1.2,7.69,6.71,100270,12,-258.85,-264.85,Media
