@relation 'AlturaOla-weka.filters.unsupervised.attribute.MathExpression-E100*A-R1-10,12-15-unset-class-temporarily-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-R2-12-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O1.5-E2.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.InterquartileRange-R1-8-O1.5-E2.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.InterquartileRange-R1-8-O1.5-E2.0-weka.filters.unsupervised.attribute.Remove-R10'

@attribute pres numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute GST numeric
@attribute APD numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}
@attribute ExtremeValue {no,yes}

@data
99940,13.600006,164,14.1,5.19,13.7,-258.65,-261.55,Moderada,no
99350,11.400009,153,15.9,6.18,13.2,-258.65,-260.75,Moderada,no
98640,10.600006,172,8.9,6.64,14.2,-258.65,-259.45,Media,no
98010,13.300003,141,11.7,5.75,14.4,-258.55,-259.35,Moderada,no
97760,8.600006,165,9.9,5.98,14.6,-258.55,-260.15,Media,no
98150,6.100006,232,5.7,6.16,14.7,-258.45,-260.25,MuyAlta,no
98920,7,262,18.3,6.59,12.7,-258.65,-263.15,MuyAlta,no
99700,6.600006,247,17.1,7.58,13.6,-258.75,-262.65,MuyAlta,no
100240,9.600006,223,13.3,7.17,14,-258.85,-262.95,Moderada,no
100570,6.900009,219,8.5,7.13,14.1,-258.85,-263.75,Moderada,no
100340,-1.300003,154,6,7.64,13.8,-258.85,-262.35,Media,no
100250,-3.300003,120,1.2,6.71,12,-258.85,-264.85,Media,no
100540,-1.399994,241,4.6,7.05,13.1,-258.85,-264.85,Media,no
100740,-0.399994,218,3.3,6.48,13.5,-258.75,-263.85,Media,no
100430,-3.800003,53,3,7.18,13.1,-258.85,-264.15,Media,no
99870,-9.5,28,8.8,6.44,13.1,-258.85,-263.55,Media,no
99250,-13.199997,357,12.5,4.92,13.2,-258.95,-263.75,Media,no
99580,-4.599991,311,13.3,5.28,13.1,-258.95,-265.15,Moderada,no
100020,1.699997,253,10.4,5.77,13.2,-258.95,-265.05,Media,no
100280,3.800003,210,6.9,6.18,13.2,-258.95,-265.05,Media,no
100410,2.5,196,4.6,6.37,12.2,-259.05,-265.05,Media,no
100670,1.400009,141,1.7,6.05,13.4,-258.65,-264.65,Media,no
100810,-1,119,3.7,6.23,13.1,-258.75,-264.55,Baja,no
100850,-2.699997,53,5,6.05,13.1,-258.95,-263.95,Baja,no
100820,-7.099991,48,7.9,5.13,13.3,-258.95,-264.15,Baja,no
100680,-10.199997,27,9.8,4.3,13.4,-258.95,-264.15,Media,no
100500,-14.5,19,11.7,4.3,13.1,-258.95,-264.45,Media,no
100390,-14.599991,359,12.7,4.9,12.9,-259.05,-265.15,Media,no
100390,-14.099991,346,12.1,5.19,12.8,-259.15,-266.05,Media,no
100510,-11.5,335,10.9,5.11,13.3,-259.05,-264.85,Media,no
100580,-7.899994,348,8.5,5.21,13.2,-259.15,-264.35,Media,no
100640,-10.800003,359,7.1,5.48,13.1,-259.15,-263.05,Media,no
100790,-9.5,23,8,6.19,14.4,-259.15,-263.35,Media,no
100930,-9,13,7.5,6.04,14.2,-259.05,-263.05,Media,no
100950,-4.899994,18,7.7,6.96,13.8,-259.15,-263.05,Media,no
100790,-3,33,5.2,6.79,13.1,-259.15,-261.55,Media,no
100570,0.800003,98,3.3,6.95,13.4,-259.15,-260.95,Media,no
100290,6.699997,181,4.6,7.71,13.4,-259.05,-262.55,Media,no
100100,6.5,136,6.4,6.38,13.3,-259.05,-261.55,Media,no
100020,7,139,10.9,5.15,12.8,-259.15,-261.25,Media,no
99960,9.900009,197,7.7,5.42,13.5,-259.15,-265.05,Media,no
99600,9.900009,155,11.2,5.49,13.8,-259.05,-262.25,Moderada,no
99430,7.400009,148,11.2,6.48,13.2,-259.05,-262.35,Moderada,no
99320,6.699997,141,9.2,6.44,13,-259.05,-262.25,Moderada,no
99440,2.300003,142,5.7,6.4,13.2,-259.15,-262.85,Media,no
99670,-4.099991,29,8.9,6.47,13,-258.95,-262.55,Media,no
100160,-9.199997,341,11.9,5.3,13.5,-259.05,-262.85,Media,no
100590,-7.300003,296,11,5.21,13.3,-259.15,-262.45,Media,no
100880,-3.699997,283,10.7,5.45,13.1,-259.05,-265.35,Media,no
101160,-3.300003,280,10.7,5.76,13.5,-259.05,-263.95,Moderada,no
101380,-3.099991,296,15.7,5.96,12.4,-259.15,-267.45,Moderada,no
101640,-5.599991,276,14,6.52,11.8,-259.25,-267.85,Moderada,no
101900,-5.699997,290,13.4,6.17,12.4,-259.25,-269.65,Moderada,no
102110,-8.300003,300,13,6.25,12.4,-259.35,-269.55,Moderada,no
102240,-6.199997,321,8.8,6.63,11.7,-259.35,-270.85,Moderada,no
102280,-4.899994,351,4.8,6.32,11.4,-259.45,-270.25,Baja,no
102290,1.199997,75,5.6,6.1,11.6,-259.45,-270.25,Baja,no
102130,4.199997,117,9.4,4.72,12.2,-259.45,-268.35,Media,no
101680,1.300003,104,13.4,4.81,11.8,-259.45,-267.55,Moderada,no
100640,3.600006,103,17.5,5.85,11.9,-259.55,-266.25,MuyAlta,no
99330,8,91,23.1,7.82,11.4,-259.65,-263.15,MuyAlta,no
99070,18.400009,159,10.9,8.06,14,-259.75,-260.75,MuyAlta,no
98770,19.800003,175,12.5,8.4,13.7,-259.65,-261.35,MuyAlta,no
98190,20.300003,140,17.7,6.89,13.1,-259.75,-261.35,MuyAlta,no
98370,11.900009,211,19.3,8.27,12.6,-259.85,-261.65,MuyAlta,no
99350,0.400009,244,13,8.3,13.6,-259.85,-261.75,MuyAlta,no
100420,-0.699997,260,15.2,6.73,12.2,-259.95,-266.35,Moderada,no
100950,7.199997,220,13.4,7.35,11.6,-259.95,-265.95,Moderada,no
101000,10.400009,202,10.9,6.16,12.4,-260.05,-265.65,Moderada,no
100770,11.900009,177,12,5.93,13,-259.95,-261.75,Moderada,no
100200,12.400009,163,12.3,6.15,13.1,-260.05,-261.25,Moderada,no
99570,7.900009,195,18.8,6.05,13.8,-259.95,-260.95,Moderada,no
100180,-1.699997,274,14.3,6.22,10.6,-260.05,-267.95,Moderada,no
100840,1.800003,260,15.8,6.22,10.4,-260.25,-270.95,Moderada,no
101330,2.100006,258,15.8,6.48,9.5,-260.15,-270.65,MuyAlta,no
101630,0.600006,262,14,7.47,9.8,-260.45,-271.15,Moderada,no
101820,0.800003,273,9.9,6.58,9.7,-260.35,-271.75,Moderada,no
101850,-1.199997,280,7.6,6.93,9,-260.45,-269.65,Moderada,no
101850,-2.199997,260,9.7,6.13,9.1,-260.45,-272.15,Media,no
101790,-5.599991,346,8.9,6.78,8.8,-260.55,-269.55,Media,no
101710,-6.300003,317,3.8,6.25,9,-260.55,-274.25,Baja,no
101610,-6.300003,316,6.3,5.53,8.8,-260.45,-271.55,Baja,no
101520,-3.899994,55,2,5.81,8.9,-260.55,-272.15,Baja,no
101360,-3.5,69,3.2,5.71,8.6,-260.55,-270.45,Baja,no
101160,-2.399994,127,5,6.79,9.4,-260.55,-270.95,Baja,no
100670,-0.399994,106,8.8,4.09,10.6,-260.65,-269.05,Media,no
100130,2.300003,111,12.2,4.69,11.8,-260.65,-265.85,Media,no
99430,9.100006,103,12.4,4.96,11.6,-260.65,-262.25,Media,no
98750,13.800003,161,13.7,5.16,12.9,-260.65,-260.85,Media,no
98580,9.800003,179,7.6,5.31,12.7,-260.65,-261.05,Media,no
98490,9,190,10.8,5.7,12.7,-260.65,-261.85,Media,no
98470,13.900009,186,12.9,6.44,12.3,-260.75,-262.45,MuyAlta,no
98440,16.699997,174,12.9,8.68,12.8,-260.75,-262.45,MuyAlta,no
98200,17.900009,172,17.1,9.22,12.7,-260.75,-262.25,MuyAlta,no
98350,10.699997,205,15.3,10.14,12.4,-260.75,-261.75,MuyAlta,no
99110,7,248,17.8,7.97,11.6,-260.75,-263.55,MuyAlta,no
99890,6.5,232,13.9,8.58,11.9,-260.85,-263.85,MuyAlta,no
100350,8.100006,250,8.3,7.64,11.8,-260.85,-264.75,Moderada,no
100290,8.100006,190,7.7,7.82,11.8,-260.85,-265.35,Moderada,no
99330,8.199997,113,12.1,7.21,11.6,-260.85,-263.65,Moderada,no
99010,8.600006,121,13.5,6.61,12,-260.85,-262.45,MuyAlta,no
99410,8.900009,244,18.9,7.01,9.1,-260.95,-267.75,MuyAlta,no
99800,6.900009,214,9.3,7.23,9.7,-261.05,-270.55,Moderada,no
99660,3.600006,179,5.6,7.12,8.2,-261.05,-269.95,Media,no
99280,-3.099991,19,5.9,6.49,7.8,-261.15,-267.75,Moderada,no
98730,-13.300003,34,14.8,5.99,10.5,-261.05,-268.25,Moderada,no
98560,-17.899994,355,18.2,6.2,10.3,-261.15,-266.95,MuyAlta,no
98650,-17.199997,345,18.2,6.86,11,-261.25,-264.95,MuyAlta,no
98840,-15.399994,34,12.2,7.7,11.2,-261.35,-266.55,MuyAlta,no
99060,-11.899994,42,9.5,7.26,11.1,-261.35,-266.75,Moderada,no
99040,-12.599991,43,11.7,6.71,10.9,-261.35,-267.35,Moderada,no
99010,-13.399994,30,11.8,6.39,10.5,-261.35,-266.45,Moderada,no
99040,-12.5,18,12.3,6.51,10.7,-261.45,-265.45,Moderada,no
99200,-11.099991,352,13.4,5.79,11.4,-261.45,-266.45,Moderada,no
99400,-9.300003,337,13.7,5.86,10.8,-261.45,-266.25,Moderada,no
99600,-4.899994,318,13,5.68,9.7,-261.45,-265.65,Media,no
99760,-3.300003,312,12.2,4.9,10.4,-261.55,-265.45,Media,no
99860,1.300003,278,11,4.75,10.7,-261.55,-265.85,Baja,no
99790,3,264,6.4,4.83,10.3,-261.55,-267.75,Baja,no
99570,4.199997,242,2.8,5.71,9.9,-261.65,-267.95,Baja,no
99350,3.100006,144,2.9,7.06,10.2,-261.65,-268.65,Baja,no
