@relation AlturaOla-Test-weka.filters.unsupervised.attribute.Remove-R3-4-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R5

@attribute air numeric
@attribute pres numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}

@data
277.799988,99130,13.6,204,14.5,11.43,8.58,5.6,4.809354,MuyAlta
278.600006,99990,11.700003,200,12.3,11.43,8.14,5.6,4.809354,MuyAlta
278.699982,99930,9.3,150,11.6,10.81,7.97,5.5,4.816162,Moderada
279.899994,98020,-2.599997,61,18.1,10.81,6.92,5.5,4.809354,MuyAlta
277.799988,98670,13.400002,255,25,10,6.9,5.8,4.809354,MuyAlta
277.899963,100170,10.8,226,15.7,10,7.87,5.8,4.809354,MuyAlta
278.499969,100170,2.200001,167,5.4,12.12,8.08,5.8,4.816162,Moderada
279.200012,98790,-15.1,24,14.3,11.43,7.75,5.3,4.809354,MuyAlta
277.100006,99280,-0.4,307,22.6,7.14,6.61,5.3,4.809354,MuyAlta
276.5,100440,-3.1,274,15.8,8.33,7.02,5.2,4.816162,Moderada
276.200012,101230,-3.6,290,10.6,11.43,7.01,5.2,4.809354,MuyAlta
276.200012,101800,-3.9,325,13.6,8.33,7.23,5.6,4.816162,Moderada
276.299988,102240,1.600002,276,10.9,9.09,6.92,5.6,4.816162,Moderada
276.799988,102640,-0.299998,266,13.6,11.43,6.7,5.5,4.816162,Moderada
277.499969,103190,-0.599998,286,13.9,10,6.54,5.7,4.816162,Moderada
276.399963,103520,1.500003,264,12.8,9.09,6.71,5.5,4.816162,Moderada
276.299988,103840,2.4,246,11.5,10.81,6.53,5.4,4.816162,Moderada
275.999969,103900,1.9,266,6.2,10.81,7.28,5.5,4.816162,Moderada
276.600006,104010,1.6,261,5.7,10,6.98,5.5,7.092061,Media
276.199982,103890,1.9,245,5.9,10,7.18,5.3,7.092061,Media
276.599976,103900,2.9,228,4,10,6.83,5.3,4.816162,Moderada
276.899963,103860,3.7,233,7.2,13.79,8.08,5.3,4.816162,Moderada
277.100006,103790,3.3,215,5.6,14.81,8.87,5.3,4.816162,Moderada
277.299988,103880,2.5,164,2.5,12.9,8.98,5.6,4.816162,Moderada
276.999969,103830,-2,155,2,11.43,8.5,5.6,4.816162,Moderada
277.200012,103730,-4.099998,70,5.3,12.9,9.21,5.3,7.092061,Media
277.999969,103470,-5.799998,61,5.8,12.12,8.86,5.2,7.092061,Media
277.299988,103340,-6.1,48,7.9,12.12,6.58,5.5,7.092061,Media
277.599976,103120,-6.299998,48,9.1,11.43,5.79,5.4,7.092061,Media
278.399963,102990,-7.099997,45,10.9,12.12,5.63,5.3,7.092061,Media
279.399963,102800,-6.7,53,10.1,5.88,5.02,5.5,7.092061,Media
279,102800,-7.299998,61,12.4,5.56,5.47,5.4,4.816162,Moderada
277.999969,102680,-8.999998,39,10,7.69,5.94,5.5,7.092061,Media
278.100006,102620,-10.5,20,7.2,9.09,6.17,5.4,7.092061,Media
279.299988,102230,-12.999998,353,9.2,8.33,5.71,5.5,7.092061,Media
278.799988,102120,-12.9,13,10.1,7.69,5.69,5.5,7.092061,Media
278.599976,102020,-11.499998,15,7.9,7.69,6.03,5.3,4.816162,Moderada
278.799988,102090,-9.199999,4,8.3,8.33,6.14,5.2,7.092061,Media
279.899963,101960,-10.899999,356,9.4,9.09,6.43,5.5,7.092061,Media
279.299988,101920,-9.7,349,9.4,8.33,5.59,5.4,7.092061,Media
278.699982,101830,-7.1,22,4.7,9.09,6.4,5.5,8.949392,Baja
278.699982,101750,-3.199997,354,1.4,13.79,6.18,5.4,7.092061,Media
279.200012,101530,-2.099998,98,2.8,8.33,6.65,5.6,8.949392,Baja
278,101230,0.8,189,3.6,7.14,6.09,5.5,8.949392,Baja
277.399963,100980,-1.399998,131,3.6,8.33,6.31,5.5,8.949392,Baja
277.5,101010,-2.2,95,6.3,6.67,5.81,5.5,7.092061,Media
277.599976,101170,-6.399999,71,11.2,5.26,4.78,5.4,4.816162,Moderada
276.499969,101410,-6.6,66,10.8,9.09,6.08,5.3,7.092061,Media
276.199982,101550,-8.7,42,9.3,8.33,5.82,5.4,7.092061,Media
276.100006,101660,-7.6,36,7.1,8.33,6.27,5.6,7.092061,Media
277.099976,101710,-8.199999,3,4.1,8.33,6.14,5.7,7.092061,Media
276.599976,101860,-6.499999,348,6.9,7.14,5.21,5.6,7.092061,Media
276.099976,101830,-4.999999,312,7.6,6.25,5.16,5.5,8.949392,Baja
276.299988,101740,-4.5,304,5.9,5.56,4.93,5.3,8.949392,Baja
276.199982,101330,-1.799999,285,10.2,6.67,5.02,5.3,7.092061,Media
276.399963,100860,-1.499998,290,7.6,7.14,5.1,5.3,7.092061,Media
276.099976,100260,-1.3,294,8.5,6.67,5.25,5.3,7.092061,Media
276.200012,99580,1.6,256,9.5,6.67,4.99,5.2,7.092061,Media
276.399963,98960,4.000001,225,9.8,7.14,4.84,5.6,7.092061,Media
274.499969,98580,0.8,270,9.3,7.69,5.56,5.6,4.816162,Moderada
274.399994,98680,-1.999998,280,17.8,9.09,6.16,5.5,4.809354,MuyAlta
274.699982,99020,-2.2,287,17.9,11.43,7.49,5.5,4.809354,MuyAlta
275.600006,99430,3.900002,262,15.6,10.81,6.89,5.5,4.809354,MuyAlta
277.499969,99460,9.400002,241,14.1,10,6.85,5.4,4.809354,MuyAlta
278.299988,99080,16.400002,194,15.1,10.81,6.83,5.4,4.809354,MuyAlta
277.700012,98500,8.500002,237,14.1,10.835044,7.040209,5.5,4.816162,Moderada
277.100006,98960,-0.899998,291,7.4,10,7.58,5.4,4.816162,Moderada
276.299988,99560,6.7,265,6.1,12.12,7.88,5.5,4.816162,Moderada
278.499969,99810,15.100003,176,8.5,11.43,7.98,5.5,4.809354,MuyAlta
278.299988,99390,18.1,160,19.2,12.12,7,5.5,4.809354,MuyAlta
279.999969,98920,16.800001,160,19.3,10.81,7.52,5.2,4.809354,MuyAlta
280.100006,98520,20.6,176,17.8,11.43,7.49,5.2,4.809354,MuyAlta
279.700012,98620,16.500002,175,18.8,12.9,7.79,5.2,4.809354,MuyAlta
278.999969,98170,15.3,158,18.3,12.12,8.07,5.2,4.809354,MuyAlta
279.799988,97350,13.800001,145,21.1,12.12,8.8,5.1,4.809354,MuyAlta
278.199982,97600,16.100002,193,17,12.9,8.92,5,4.809354,MuyAlta
279,98240,6.9,183,11.6,12.12,8.8,4.9,4.809354,MuyAlta
278.399994,97700,5.100001,131,9,12.12,8.49,5,4.809354,MuyAlta
277.399994,97840,0.800002,274,14,11.43,8.2,5.2,4.809354,MuyAlta
276.199982,98480,1.900002,278,14.5,10.81,7.1,5.2,4.816162,Moderada
276.099976,99100,4.900002,236,12.6,10.81,6.9,5.2,4.816162,Moderada
275.799988,99420,9.300001,207,11.3,11.43,6.28,5.2,4.816162,Moderada
276,99460,6.1,161,6,10.81,7.07,5.2,4.816162,Moderada
276.600006,99460,2.200001,204,8.2,10,6.86,5.2,4.816162,Moderada
276.700012,99470,4.900002,224,9.6,10.81,7.54,5.2,4.816162,Moderada
277.5,99680,7.800002,218,8.3,10,7.67,5.2,4.816162,Moderada
277.299988,99990,8.5,229,8.8,11.43,7.67,5.2,4.816162,Moderada
277,100210,7.5,212,9.3,11.43,7.01,5.2,4.816162,Moderada
276.899963,100380,5.5,215,7.8,10.81,7.39,4.9,4.816162,Moderada
277.5,100420,5.8,211,6.5,10.81,7.43,5,7.092061,Media
277.200012,100340,3.1,194,5.2,9.09,6.93,5.2,7.092061,Media
276.699982,100290,1.800002,212,3.3,10.81,7.41,5.2,7.092061,Media
276.5,100280,-1.999998,251,4.1,10,7.3,5.2,7.092061,Media
277.299988,100230,-1.099998,351,3,10,7.5,5.4,7.092061,Media
276.499969,100250,-2.3,0,2.8,8.33,7.29,5.2,7.092061,Media
277.199982,100280,-4.899999,324,4.9,8.33,7.65,5.2,8.949392,Baja
277.099976,100340,-6.099998,7,5.1,14.81,6.95,5.2,7.092061,Media
278.600006,100380,-6.4,347,6.6,12.9,6.53,5.3,7.092061,Media
277.600006,100460,-6.899999,23,6.7,12.12,6.47,5.2,7.092061,Media
277.099976,100670,-6.9,351,8.5,10.81,6.25,5,8.949392,Baja
276.999969,100860,-7.1,344,10.6,11.43,4.7,5.2,7.092061,Media
276.600006,101140,-4.899999,325,6.8,10.81,5.87,5.1,7.092061,Media
276.199982,101330,-1.599998,207,4.1,10.81,6.53,5.3,7.092061,Media
275.100006,101550,-3.999999,260,12.9,6.25,5.05,5,4.816162,Moderada
274.299988,101810,-5.499999,310,14.7,7.69,5.77,5.2,4.816162,Moderada
274.699982,102240,-6.599998,298,12.2,10,5.87,5.2,4.816162,Moderada
274.5,102650,-4.5,304,10.6,8.33,6.04,5.2,7.092061,Media
275.200012,102930,-0.1,272,4.4,7.69,5.56,5.2,8.949392,Baja
276.599976,102630,7.8,221,10.6,6.67,4.54,5,7.092061,Media
277.799988,102540,0.8,274,11.9,6.25,4.66,5.1,4.816162,Moderada
277.799988,102750,-8.199999,300,12.1,9.09,6.94,5.1,4.816162,Moderada
277,103130,-8.399999,342,11.3,8.33,7.12,5.2,4.816162,Moderada
277.299988,103360,-6.799998,12,7.9,8.33,6.85,5.2,7.092061,Media
276.899963,103510,-5.399999,318,6.2,14.81,7.54,5.3,7.092061,Media
276.899994,103600,-5.7,299,7.1,12.9,7.84,5.2,7.092061,Media
276.899963,103650,-4.199998,287,8.3,11.43,7.3,5.1,4.816162,Moderada
277.399994,103590,-4.4,303,10.8,13.79,6.27,5.2,7.092061,Media
277.899963,103520,-4.1,290,12.2,12.9,5.49,5.2,4.816162,Moderada
277.299988,103340,-1.499998,282,14.3,14.81,6.78,5.2,4.816162,Moderada
277.5,103030,-5.499999,297,16.4,14.81,6.38,5.1,4.809354,MuyAlta
278.5,102990,-10.999998,312,17,8.33,6.83,5.4,4.809354,MuyAlta
279,103060,-12.4,337,13.8,10,7.26,5.5,4.816162,Moderada
277.600006,103330,-9.799998,319,11.1,9.09,6.81,5.5,4.816162,Moderada
277.199982,103120,-5.899999,306,11.9,13.79,6.47,5.5,4.816162,Moderada
277.200012,102780,-4.2,290,14.1,12.12,6.19,5.4,4.816162,Moderada
277.399963,102320,-5.6,295,13.6,7.14,5.67,5.5,4.816162,Moderada
277.299988,102070,-9.5,321,12,8.33,6.47,5.5,4.816162,Moderada
277.399994,101870,-7,310,12.4,8.33,5.86,5.5,4.816162,Moderada
277.799988,101600,-3.8,299,12.2,8.33,6.01,5.5,4.816162,Moderada
277.899963,101120,-2.7,288,12.9,8.33,5.76,5.5,4.816162,Moderada
276.799988,100690,-2.899998,292,14.4,8.33,5.86,5.4,4.809354,MuyAlta
273.799988,100440,-7.2,290,21.9,9.09,6.81,5.3,4.809354,MuyAlta
272.799988,100350,-4.699998,287,20.7,10,8.47,5.1,4.809354,MuyAlta
273.599976,100310,-2.799999,284,21.2,12.12,7.92,5.1,4.809354,MuyAlta
272.899963,100520,0.500002,258,17.8,10,7.56,5.1,4.809354,MuyAlta
274,100700,3.200001,266,15.8,10.81,6.91,5,4.816162,Moderada
273.299988,100630,6.200002,242,10.9,9.09,6.31,5.2,4.816162,Moderada
273.499969,100350,4.200003,213,10.7,9.09,6.39,5.2,7.092061,Media
274.5,99740,0.4,236,3,9.09,6.47,5.2,7.092061,Media
274.200012,99390,-0.8,280,9.8,7.14,5.85,5,7.092061,Media
274.799988,99100,3.1,268,13.7,7.14,4.87,5.1,4.816162,Moderada
276.200012,99100,-7.6,323,16.7,9.09,6.58,5.1,4.809354,MuyAlta
275.399963,99440,-8.9,305,17,8.33,6.59,5.1,4.816162,Moderada
275.199982,99620,-5.9,288,11.7,8.33,6.72,5.2,4.816162,Moderada
275.799988,99990,-6.9,330,9.9,11.43,6.71,5.2,4.809354,MuyAlta
277.399963,100300,-11.6,5,16.1,12.12,7.76,5.2,4.809354,MuyAlta
276.600006,100850,-12.2,18,15,10.81,7.88,5.2,4.816162,Moderada
275.100006,101260,-9.399999,351,10.9,10,7.18,5.2,4.816162,Moderada
274.600006,101380,-8.2,319,12,7.69,6.38,5.1,4.816162,Moderada
275.399994,101020,-6.099997,321,12.5,9.09,6.5,5.3,4.816162,Moderada
274.499969,100930,-8.899999,343,13.1,7.14,5.63,5.2,4.816162,Moderada
274.5,100780,-8,335,9.6,7.69,6.16,5.1,4.816162,Moderada
274.399963,100700,-8.699999,299,10.3,9.09,6.4,5,4.816162,Moderada
275.299988,100510,-8.299998,327,13.2,8.33,5.83,5.1,4.816162,Moderada
274.5,100380,-8.099998,324,13.4,8.33,5.92,5.1,4.809354,MuyAlta
274.399963,100060,-11.499998,298,18,9.09,6.87,5.1,4.809354,MuyAlta
274.100006,100350,-11.899999,40,14.6,10,7.24,5,4.809354,MuyAlta
273,100740,-11.899999,55,9,10,7.23,5.1,4.816162,Moderada
272.5,101010,-9.199999,344,9.5,9.09,6.37,4.9,4.816162,Moderada
271.499969,101190,-9.699999,333,7.4,7.69,6.63,4.7,4.816162,Moderada
272.199982,101220,-8.8,25,11.8,9.09,6.2,4.8,7.092061,Media
272.299988,101400,-8.899997,356,5.4,9.09,5.68,4.8,7.092061,Media
271.599976,101560,-4.7,40,6.3,7.69,5.6,4.7,7.092061,Media
272.199982,101680,-3.9,288,4.8,7.69,6.09,4.7,8.949392,Baja
272.599976,101730,-2.999999,325,6.5,7.14,5.32,4.7,7.092061,Media
272.699982,101890,-4.6,20,10.1,9.09,6.02,4.8,7.092061,Media
272.799988,102030,-2.499999,49,5.5,8.33,6.43,4.7,7.092061,Media
273.200012,102090,-3.1,67,10.1,7.14,6.39,4.4,7.092061,Media
274.5,102070,-2.9,76,12.3,7.69,5.15,4.6,4.816162,Moderada
274.5,102170,-7.4,58,13.1,7.14,5.76,4.8,4.816162,Moderada
273.399994,102160,-6.6,50,12,7.69,5.59,4.8,4.816162,Moderada
273.799988,102070,-7.999999,50,12.6,7.14,5.61,4.8,7.092061,Media
274.700012,102100,-4.6,74,11.8,8.33,5.38,4.7,7.092061,Media
275.199982,102030,-5.099998,80,8,7.69,5.32,4.7,7.092061,Media
274.700012,101880,-5.9,68,8.7,7.69,5.19,4.6,4.816162,Moderada
274.600006,101550,-6.3,88,11.6,7.14,5.37,4.6,4.816162,Moderada
273.799988,101210,-10.599998,58,13.4,8.33,5.95,4.5,4.816162,Moderada
274.099976,100840,-11.5,49,13.5,8.33,6.2,4.7,4.816162,Moderada
273.499969,100600,-9.599998,44,11.2,10,6.18,4.7,4.816162,Moderada
274.200012,100120,-9.499998,59,12.7,10,6.28,4.5,4.816162,Moderada
274.799988,99580,-12.5,52,15.3,9.09,5.99,4.5,4.809354,MuyAlta
275.600006,99200,-15.899999,30,15.2,9.09,6.84,4.9,4.816162,Moderada
274.5,99470,-11.399997,358,12.3,8.33,6.33,4.9,7.092061,Media
273,99780,-3.599998,286,7.6,9.09,6.28,4.9,7.092061,Media
273.899994,99940,4.000003,243,10.4,9.09,6.39,4.7,4.816162,Moderada
274.999969,99780,6.4,226,12.8,11.43,6.96,4.8,7.092061,Media
275.199982,99450,3.100002,208,8.5,10,6.39,4.7,7.092061,Media
274.399994,99020,1.600002,231,7.7,10.81,6.62,4.7,7.092061,Media
273.899963,98850,2.3,256,7.1,10.81,7.29,4.5,7.092061,Media
273.700012,98820,3.600002,229,7.5,11.43,6.73,4.6,7.092061,Media
275.099976,98960,3.900002,208,7.9,11.43,6.38,4.6,7.092061,Media
275.199982,98880,0.7,162,3.3,10.81,6.6,4.5,7.092061,Media
275.099976,98860,0.500002,109,3.4,7.69,6.69,4.5,7.092061,Media
274.299988,98950,-0.3,132,2.9,10,6.37,4.7,7.092061,Media
274,99350,1.500003,264,8.1,9.09,6.22,4.6,7.092061,Media
273.5,99570,2.100003,252,9.9,9.09,5.54,4.7,7.092061,Media
273.399994,99940,1.500003,162,9.4,7.14,6.59,4.6,7.092061,Media
274.700012,99910,-3.4,80,6,9.09,6.19,5,7.092061,Media
275.399994,100000,-7.099997,41,9.1,9.09,6.03,4.8,7.092061,Media
275.299988,99960,-9.299997,4,11.4,10,5.49,4.7,7.092061,Media
276.299988,99760,-6.3,14,6.3,10,6.31,4.8,7.092061,Media
276.799988,99710,-5.699998,48,11,7.69,5.74,4.8,7.092061,Media
275.899963,99910,-6.099998,75,6.2,9.09,5.96,4.8,7.092061,Media
275.699982,99990,-7.199998,349,3.2,8.33,5.98,4.8,7.092061,Media
275.799988,100280,-4.899999,285,1.9,8.33,5.93,4.9,7.092061,Media
275.899994,100520,-1.5,310,7.4,7.14,5.52,4.9,7.092061,Media
274.700012,100760,4.100001,231,8.2,9.09,5.8,4.7,7.092061,Media
274.899963,100940,6.4,226,8.2,5.88,4.66,4.6,7.092061,Media
276.099976,101150,7.700002,196,12.7,6.25,4.73,4.6,7.092061,Media
276.399994,101350,8.3,207,13.9,6.25,4.94,4.7,7.092061,Media
277.5,101550,8.9,196,13.8,7.14,5,4.7,7.092061,Media
277,101570,6.900002,213,10.7,6.67,5.28,4.7,7.092061,Media
277.399994,101340,6.8,198,6.3,7.14,5.38,4.6,7.092061,Media
277.700012,100960,8.700002,158,8.5,5.56,5.06,4.7,7.092061,Media
277.399963,100680,7.700002,198,6.6,5.88,5.3,4.7,7.092061,Media
276.700012,100350,5.100001,177,6.8,13.79,5.99,4.7,7.092061,Media
276.999969,100030,4,152,6.5,12.9,5.65,4.7,7.092061,Media
277.099976,99900,2.900002,136,10.9,10,5.51,4.7,7.092061,Media
277.5,99870,-2.2,109,8.4,10,5.74,4.8,7.092061,Media
276.799988,99820,-2.099998,45,8.2,10,6.46,4.7,7.092061,Media
277.299988,99920,-4.3,33,4.3,10,6.4,4.9,8.949392,Baja
277.700012,99940,-1.599998,320,3.6,9.09,6.49,5.2,8.949392,Baja
277,100040,-2.399998,342,3.2,8.33,6.33,5.2,8.949392,Baja
276.299988,100100,-0.299998,327,2.1,12.9,6.16,5,8.949392,Baja
276.700012,100220,-0.599998,116,0.8,12.12,6.19,4.8,8.949392,Baja
276.799988,100410,-1.499997,191,0.5,12.12,6.47,5.3,8.949392,Baja
276.099976,100420,-2.199998,109,4.2,8.33,6.05,4.9,8.949392,Baja
275.399994,100450,-6.699998,11,4.6,7.69,5.94,4.9,8.949392,Baja
275.799988,100510,-6.3,30,5.7,13.79,5.78,4.8,8.949392,Baja
276.5,100600,-5.2,296,8.1,8.33,4.88,5.1,8.949392,Baja
275.899994,100600,-2.5,299,7.8,12.9,5.09,5.1,7.092061,Media
275.399994,100490,0.6,303,6.1,10.81,6.28,5.1,8.949392,Baja
275.199982,100350,2.400002,252,6.2,10,5.38,5,8.949392,Baja
275.600006,100240,3.9,164,4.4,10,5.92,5.1,8.949392,Baja
276.299988,100100,0.000003,106,6.5,10,6.05,5.1,8.949392,Baja
276.299988,99800,-6.099998,59,7,10,6.02,5,8.949392,Baja
277,99810,-7,61,7,11.43,5.02,5,7.092061,Media
277.399963,99880,-5.699998,40,5.9,17.39,7.28,5.1,4.816162,Moderada
