@relation AlturaOla-weka.filters.unsupervised.attribute.Remove-R3-4-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R9

@attribute air numeric
@attribute pres numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}

@data
287,101260,4.100006,194,4.5,5.2,16,4.78,14.3,11.9,Baja
287.299988,101370,5.800003,241,9,10.8,3.23,3.38,14.5,11.3,Baja
286.100006,101480,6.100006,217,9.8,11.2,5.26,4.19,14.2,10.7,Baja
285.700012,101520,6.199997,181,4.6,5.4,5.56,4.19,14.1,10.2,Baja
285.900024,101680,7.600006,152,7.1,8.6,4.55,4.4,14.1,10.7,Baja
286.900024,101880,6.600006,120,8.2,9.7,6.25,4.57,14.2,10.5,Media
287.299988,102060,5.199997,119,8.1,9.9,4.76,4.69,14.1,12.3,Media
287,102230,4.600006,109,7.7,8.8,6.25,4.94,14.1,12.6,Baja
288.100006,102350,1.699997,111,6.9,8.1,6.25,4.63,14.1,12.5,Baja
287.600006,102390,2.199997,102,6.4,7.7,6.25,4.83,14.2,12.8,Baja
287.400024,102380,2.600006,108,6.2,7.2,6.67,4.57,14.3,13.1,Baja
287.299988,102300,1.100006,110,5.7,6.8,6.25,4.8,14.2,13.1,Baja
288.100006,102180,2,105,7.6,8.8,6.67,4.51,14.3,12.4,Media
288.299988,102090,5.300003,111,8.3,9.4,6.67,4.7,14.2,11.6,Media
287.700012,102020,3.199997,117,7,8.3,7.69,5.24,14.3,13.5,Baja
287.5,101790,1.199997,103,7.2,8.2,7.14,4.49,14.2,14,Media
288.400024,101460,5,93,11,12.9,5.56,4.59,14.3,13.4,Media
287.900024,101400,8.400009,136,8.2,9.5,6.25,4.78,14.1,14.2,Baja
287,101500,8.699997,221,7,8.5,6.67,5.03,14.2,10.6,Baja
287,101610,5.800003,156,5.7,6.7,6.25,4.66,14.2,12.4,Baja
287.5,101510,4.600006,146,6.4,7.4,6.25,4.54,14.1,12.4,Baja
286.900024,101110,2.600006,124,6.8,8.1,6.25,4.58,14.2,12.1,Media
287.299988,100450,1.600006,106,10,12,5.56,4.6,14.1,11.5,Media
287,100380,9.800003,106,1.2,2.4,8.33,5.17,14.1,11.5,Media
286.900024,100700,14.699997,192,10.5,13.1,8.33,5.5,14.2,11.5,Media
287.100006,100870,12,155,8.3,10.8,8.33,5.79,14.2,12.3,Media
287.400024,101030,8.199997,195,7,8.7,8.33,5.81,14.2,12.5,Media
286.600006,101210,5.800003,260,2.8,3.5,9.09,6.12,14.2,12.2,Media
287,101430,3.199997,235,4.8,5.7,8.33,6.38,14.2,12.2,Media
287.299988,101690,5.5,236,6.7,7.7,9.09,5.91,14.4,12.1,Baja
286.799988,101710,7.5,211,7,8.3,8.33,5.12,14.5,11.7,Media
286.400024,101790,7.100006,203,8.4,9.6,6.67,4.99,14.5,11.7,Media
286.400024,101820,6.400009,202,6.6,7.7,6.67,5.09,14.4,11.7,Media
287,101780,5.600006,188,7.6,9.1,6.67,4.7,14.4,11.9,Baja
286.200012,101560,3.300003,170,6.4,7.3,6.67,4.6,14.5,11.1,Baja
286.600006,101490,1.400009,182,4.2,5.2,6.67,5.12,14.3,12.1,Baja
286.5,101410,1.800003,181,4.3,4.9,6.25,4.9,14.7,11.9,Baja
286,101380,6,177,4.8,5.3,12.12,4.91,14.6,12.1,Baja
286.299988,101100,9.5,169,7.5,9,11.43,4.02,14.8,12.2,Baja
286.5,100880,11.300003,163,9.1,10.7,5.26,4.22,14.4,12.8,Media
286.400024,100570,11.600006,171,10.3,12.2,5.88,4.8,14.4,13,Moderada
287.200012,100360,13.900009,151,11.8,14.3,7.69,5.55,14.4,13,Moderada
286.799988,100110,11.900009,161,10.6,13,8.33,6.48,14.3,13.7,Moderada
287,99870,8.100006,140,9.1,10.8,8.33,6.56,14.3,13.7,Moderada
287.200012,99960,5.900009,183,5.4,6.6,8.33,6.2,14.3,13.2,Media
287.200012,100150,6.800003,169,6.5,8,9.09,6.58,14.5,13.6,Media
287.200012,100100,6.400009,151,6.7,7.9,7.69,6.16,14.5,14,Media
287.299988,99940,5.900009,114,6.6,8,7.69,6.04,14.5,14.3,Media
288,99950,10.400009,147,8.5,10.1,7.69,5.81,14.5,14.5,Media
287.5,100440,13.100006,197,9.5,11.9,8.33,5.43,14.6,13,Moderada
287.299988,100750,10.5,159,7.7,9.3,9.09,5.95,14.6,13.3,Media
287.200012,100910,9.400009,159,7.4,8.8,8.33,5.82,14.5,12.9,Media
287.200012,101000,7,154,6.1,7.5,9.09,6.12,14.5,12,Media
286.799988,100990,6,178,5.8,7.1,9.09,6.28,14.8,12.3,Media
286.700012,101060,5.100006,186,5.4,6.7,10,6.59,14.7,13,Media
287.100006,101160,6.800003,187,4.9,6.1,10,6.06,14.7,12.5,Media
287.400024,101110,10.400009,157,6,7.3,9.09,5.92,14.7,13.6,Media
287.700012,100990,10.199997,155,9.9,12.2,8.33,5.11,14.7,13,Media
287,100840,11.100006,184,8.6,10.2,5.88,5.5,14.7,13.7,Media
287.299988,100730,9.900009,177,8.1,9.6,6.67,5.41,14.6,13.9,Media
287.900024,100810,9.5,187,8.7,10.9,8.33,5.32,14.6,13.8,Media
287.600006,100860,9.199997,170,7.6,8.4,9.09,5.69,14.6,14,Media
287.700012,100680,10.5,152,9.1,10.7,8.33,5.36,14.6,14.2,Moderada
286.900024,100660,10,191,10.4,13.2,8.33,5.87,14.6,13.5,Media
287.600006,100790,3.100006,209,3.7,4.9,10,6.61,14.5,12.4,Media
287.5,100650,3.699997,228,0.8,1.4,8.33,7,14.6,10.8,Media
286.900024,100800,4.300003,205,6.2,7.3,7.14,6.6,14.6,12.2,Media
286.799988,101010,4.800003,197,6.3,7.7,7.69,5.99,14.6,12.8,Media
286.799988,101300,7,200,6.6,9.2,7.69,6.25,14.5,12.3,Media
287.5,101560,7.100006,207,6.1,7.3,7.69,5.87,14.8,12.2,Media
286.900024,101590,7.400009,193,6.2,7.2,7.14,6.12,14.8,12.6,Media
286.799988,101460,12.400009,171,9.3,11.2,8.33,5.47,14.7,12,Moderada
287.400024,101220,14.300003,164,13.4,16,7.14,5.38,14.6,12.7,Moderada
285.700012,101100,12.400009,197,9.3,11.5,8.33,6.55,14.5,14,Moderada
288,100900,11.699997,182,8.4,10.5,9.09,6.67,14.3,14.3,Moderada
288,100620,13.800003,191,11.7,14.1,10,5.95,14.4,14.5,Moderada
287.600006,100950,8,238,11.8,14.5,10,6.57,14.1,12.6,Moderada
286.600006,101330,4.100006,231,9.1,10.7,8.33,6.22,14,12.7,Moderada
287.100006,101640,2.600006,247,7.1,8.9,10.81,6.86,14,13,Media
286.700012,101800,3,252,6,8.4,9.09,6.48,14,12.6,Media
286.900024,101930,1.100006,254,6.9,7.9,8.33,6.01,14,12,Media
287.299988,102040,0.699997,261,6.5,7.8,9.09,6.08,14.1,12,Media
287.400024,102050,0.400009,269,3.9,4.9,9.09,5.88,14.1,12.5,Media
286.5,101960,1.600006,258,4.7,6.4,9.09,5.83,14.1,10.5,Baja
286.799988,101920,1.400009,223,4.5,5.2,9.09,5.42,14.1,11.2,Baja
286.600006,101760,1.400009,240,2.2,2.6,6.67,5.28,14.4,10.7,Baja
287.299988,101560,1,120,2,2.4,8.33,6.81,14.5,10.7,Baja
286.5,101500,-1.300003,97,4.4,5.4,9.09,6.61,14.2,10.9,Baja
287.100006,101610,-4.399994,40,4.4,5.3,8.33,4.96,14.3,11.5,Baja
287,101790,-6.300003,13,4.2,5.1,6.67,5.44,14.4,12.5,Baja
286.600006,102030,-7.199997,340,3.5,4.4,7.14,5.66,14.4,12.6,Baja
286.600006,102320,-5.399994,332,3.1,3.8,14.81,5.86,14.3,12.9,Baja
287.200012,102530,-4.599991,318,3,3.5,6.25,5.26,14.3,12.7,Baja
287.100006,102670,-2.199997,294,3.1,3.7,14.81,5.91,14.8,12.7,Baja
287.100006,102630,1,257,3.1,3.7,14.81,6.21,14.8,12.9,Baja
286.799988,102620,1.400009,244,3.8,4.5,13.79,6.04,14.6,12.2,Baja
286.700012,102430,4.600006,144,2.2,2.7,14.81,6.7,14.6,11.5,Baja
286.900024,102230,3.5,142,2.7,3.4,13.79,4.18,14.6,11.1,Baja
286.700012,102160,-2.599991,79,5.1,5.8,5.26,3.92,14.6,12,Baja
286.799988,102360,-4.599991,16,4.5,5.6,6.25,5.29,14.5,12.3,Baja
286.799988,102480,-3.099991,332,1.3,1.7,7.69,5.41,14.6,12.3,Baja
287.799988,102410,4.600006,169,2.6,3.2,7.69,5.97,15,12,Baja
287.799988,101960,10.900009,142,7.7,9.9,6.67,4.06,14.6,13.1,Media
287.200012,101430,11,185,5.5,6.4,5.88,4.84,14.5,14.3,Media
288.900024,101140,7.100006,219,7.6,9.2,6.25,4.61,14.5,14.3,Baja
287.900024,101130,4.699997,246,5.9,6.9,6.67,5.05,14.5,14.1,Media
287.299988,101390,0.800003,271,6.6,8.4,7.14,5.51,14.6,13.9,Media
286.799988,101490,-1,272,6.3,7.4,7.69,5.17,14.5,11.4,Media
287.200012,101590,2.600006,227,6.5,8.1,8.33,5.76,14.5,11.7,Media
287.100006,101470,5.699997,223,6.7,8.1,7.69,5.09,14.5,11.2,Media
286.5,101390,7.400009,228,9.7,11.3,7.69,5.58,14.5,10.9,Media
287.400024,101430,5,235,9.4,11.2,8.33,5.44,14.5,12.5,Media
287.299988,101570,1.800003,265,7.4,9.2,9.09,6.15,14.4,11.6,Media
287.600006,101710,1.5,267,6.4,7.6,10,5.92,14.6,11.9,Media
287.100006,101790,1,256,5.5,6.6,9.09,6.34,14.6,11.7,Media
286.400024,101850,1.5,231,5.3,6.8,10.81,6.58,14.6,12.4,Media
286.900024,101940,2.100006,259,5.9,7,10,6.24,14.5,12.1,Baja
287.900024,101840,6.600006,229,6.5,7.7,10,5.83,14.7,12.4,Baja
286.5,101450,10.600006,185,7.5,9,8.33,5.3,14.7,10.5,Media
286.5,100930,11.800003,165,11.1,13.6,5.88,4.93,14.6,12.2,Media
286.600006,100400,9.699997,170,8.4,9.8,7.14,5.56,14.5,12.3,Media
286.799988,100070,5,163,6.8,8.3,9.09,5.95,14.6,11.5,Moderada
287.100006,99920,-0.800003,230,0.3,0.8,10,6.88,14.7,11.7,Media
286.200012,99920,-2.199997,294,4.8,5.6,10,7.12,14.6,11,Media
286.400024,100050,-5.599991,289,6.8,8.4,9.09,6.53,14.6,11.1,Media
287.100006,100280,-4.599991,296,7.6,8.7,9.09,6.27,14.7,11.9,Media
286.900024,100530,-3,288,9.6,11.7,9.09,5.61,14.6,11,Media
286.600006,100660,-1,273,8.6,10.3,9.09,5.64,14.6,11.6,Media
287,100710,3.199997,254,8.4,9.7,8.33,5.38,14.5,10,Media
286.900024,100570,5.699997,226,8.2,9.8,6.67,5.29,14.7,11.6,Media
286.700012,100260,6.900009,179,6.4,7.4,7.69,5.36,14.6,11.6,Baja
286.799988,100060,0.199997,260,4.1,5,6.67,5.06,14.7,12.6,Baja
287.200012,100350,-3.800003,225,1.9,2.4,12.12,5.86,14.7,12.1,Baja
288,100690,-2.5,312,5.7,6.9,6.67,5.2,14.7,12.7,Baja
286.900024,101010,-4.5,291,8.2,9.4,7.14,4.96,14.7,11.6,Media
286.700012,101240,-1.5,287,8.5,9.7,9.09,5.67,14.6,9.8,Media
287,101350,-2,282,9.5,11.1,9.09,4.94,14.6,7.3,Media
287.400024,101650,-4.899994,290,9.3,11.4,8.33,5.55,14.7,10.6,Media
286.799988,101980,-4.899994,300,9.9,11.5,7.14,5.23,14.6,10.5,Media
286.200012,102230,-2.399994,272,8.8,10.1,8.33,5.6,14.6,10.1,Media
286.799988,102220,-0.5,264,9.6,12.3,7.69,5.22,14.5,10.3,Media
287.400024,102350,0.900009,264,10.4,12.3,7.14,5.59,14.6,11.3,Media
286.600006,102310,0.400009,273,9,10.5,8.33,5.48,14.5,11.2,Media
286.600006,102350,2.100006,258,8.9,10.3,7.14,5.42,14.4,10.2,Media
287.5,102190,4.5,237,7,8.1,8.33,5.53,14.3,11.7,Media
287.400024,102150,4.300003,177,5.6,6.4,7.69,5.14,14.4,13.6,Baja
287.700012,101980,4.699997,230,5.3,6.3,7.14,5.24,14.4,14.1,Media
287.400024,102070,5.699997,223,9.3,10.4,5.88,4.62,14.4,14.3,Media
288.299988,102130,7.600006,233,8.3,10.1,5.88,4.79,14.4,14.4,Media
288.200012,102110,10.699997,212,10.3,12.7,6.25,4.77,14.5,14.1,Media
287.700012,102080,11.400009,207,10.8,13.2,7.14,4.8,14.5,14,Moderada
287.700012,102050,13.5,200,10.6,12.7,7.14,5.64,14.4,13,Moderada
288.100006,101920,12.800003,198,12.1,15.2,7.14,5.64,14.4,13.7,Moderada
288.400024,101800,12.900009,194,10.9,13.3,8.33,5.81,14.4,14,Moderada
288.299988,101520,11.699997,191,11,13.6,8.33,5.47,14.4,14.5,Moderada
287.200012,101490,6,233,7.5,8.9,9.09,6.06,14.4,14.3,Media
287.200012,101490,-0.099991,271,4.7,5.5,9.09,6.31,14.4,13.8,Baja
287.5,101520,-3.300003,280,5,6,7.69,5.73,14.6,13,Baja
286.799988,101530,-4.800003,278,5.6,6.6,8.33,5.59,14.5,11.1,Baja
286.900024,101600,-4.699997,270,5.1,6.1,7.14,4.77,14.5,11.4,Media
286.700012,101680,-2.300003,268,6.8,8.3,7.69,4.84,14.5,11.2,Media
287,101800,-1.899994,278,8.3,10,7.14,4.86,14.5,11.8,Media
286.799988,101850,-2.199997,294,5.3,6.2,5.88,5,14.5,12.2,Baja
286.600006,101950,-2,286,5.3,6,6.25,4.76,14.5,11.4,Baja
286.700012,101970,-0.699997,268,3.2,3.9,7.14,5.53,14.5,11.6,Baja
287.400024,102070,2.400009,254,3.8,4.4,16,4.75,14.5,11.2,Baja
287,102040,2.300003,200,3.7,4.6,14.81,7.63,14.5,11.4,Media
287.100006,102050,4.5,150,4.2,5,12.12,8.57,14.5,12.4,Media
287.299988,101970,5.900009,168,5.3,6.5,12.12,7.72,14.5,12.7,Media
288.299988,101870,6.300003,159,6.5,7.6,10.81,6.12,14.6,12.2,Media
288,101730,5.900009,135,8.4,10.1,12.12,5.29,14.5,13.1,Media
287.299988,101810,4.600006,174,4.8,5.6,10.81,5.99,14.5,14.1,Media
286.900024,101930,1.600006,226,4.3,5.1,11.43,6.52,14.5,13.9,Media
288.100006,102130,-2,285,7.3,8.7,10,5.76,14.6,12.3,Media
286.799988,102320,-1.899994,280,4.7,5.7,10,6.03,14.6,12.2,Media
286.600006,102390,0.199997,264,1.7,3.1,11.43,6.37,14.5,11.1,Baja
287.200012,102410,5.699997,127,5.7,6.6,6.67,6.19,14.5,11.9,Baja
287.700012,102270,9.600006,142,8.4,10,6.67,5.07,14.5,13.1,Baja
287.799988,102240,12.100006,167,6.9,8.3,5.56,4.9,14.5,14.6,Media
287.799988,102240,12,173,9.5,11.1,6.67,4.58,14.5,14.6,Media
288.299988,102190,13.199997,179,10,12.6,8.33,5.72,14.5,14.6,Media
289.200012,102030,14.400009,165,9.9,11.6,8.33,5.4,14.6,14,Moderada
287.700012,101860,13.699997,166,9.8,11.4,8.33,5.96,14.6,14,Moderada
287.799988,101700,13.900009,164,10.2,12.7,9.09,5.97,14.6,14.2,Moderada
287.600006,101530,11.400009,163,9.8,11.9,10,6.79,14.6,14.3,Moderada
288.200012,101330,12.800003,162,9.4,11.2,10,6.3,14.7,14.3,Moderada
286.900024,101160,11.5,162,11.1,13.5,10,5.67,14.6,14.3,Moderada
287.799988,101110,8.800003,159,10.5,12.5,9.09,6.06,14.6,14.4,Media
287.200012,101110,7.800003,169,7.1,8.2,10,5.98,14.6,14.6,Media
288,100880,8.400009,152,8.9,10.6,9.09,5.87,14.6,14.6,Media
286.600006,100880,8.5,246,7.6,9.5,12.12,5.84,14.6,10.9,Moderada
286.900024,100960,6.5,198,7,8.3,12.9,7.3,14.5,11.8,Moderada
286.700012,101070,4.400009,205,5.9,7.6,13.79,7.62,14.5,12.4,Media
286.700012,101180,2.199997,233,4.5,5.9,13.79,7.09,14.7,10.9,Moderada
286.799988,101260,2.300003,222,4.6,5.8,12.9,8.45,14.6,11.2,Media
286.299988,101370,-0.399994,259,4.8,5.9,12.12,7.41,14.6,11.7,Media
286,101340,0.199997,228,3.1,4.6,10.81,7.84,14.6,12.1,Media
287,101340,1.199997,250,1.3,1.9,7.14,6.56,14.7,11.7,Media
286,101020,6.800003,185,4.7,5.5,9.09,7.12,14.7,11.1,Media
286.600006,100540,11.400009,162,7.9,9.5,7.69,5.17,14.6,9.9,Media
286.299988,99940,13.600006,164,11.1,14.1,5.56,5.19,14.5,11.6,Moderada
286.400024,99350,11.400009,153,13.2,15.9,8.33,6.18,14.5,12.4,Moderada
287.5,98640,10.600006,172,7.1,8.9,8.33,6.64,14.5,13.7,Media
287.5,98010,13.300003,141,9.1,11.7,8.33,5.75,14.6,13.8,Moderada
286.600006,97760,8.600006,165,8.1,9.9,8.33,5.98,14.6,13,Media
286.700012,98150,6.100006,232,4.9,5.7,7.14,6.16,14.7,12.9,MuyAlta
286.400024,98920,7,262,14.3,18.3,11.43,6.59,14.5,10,MuyAlta
286.299988,99700,6.600006,247,13.8,17.1,9.09,7.58,14.4,10.5,MuyAlta
286.700012,100240,9.600006,223,11.2,13.3,10,7.17,14.3,10.2,Moderada
287.5,100570,6.900009,219,7,8.5,11.43,7.13,14.3,9.4,Moderada
286.400024,100340,-1.300003,154,5.1,6,10,7.64,14.3,10.8,Media
285.400024,100250,-3.300003,120,0.5,1.2,7.69,6.71,14.3,8.3,Media
285.799988,100540,-1.399994,241,3.8,4.6,10,7.05,14.3,8.3,Media
286.100006,100740,-0.399994,218,2.6,3.3,8.33,6.48,14.4,9.3,Media
286.299988,100430,-3.800003,53,2,3,8.33,7.18,14.3,9,Media
285.799988,99870,-9.5,28,7.2,8.8,8.33,6.44,14.3,9.6,Media
285.200012,99250,-13.199997,357,10,12.5,4.76,4.92,14.2,9.4,Media
284.400024,99580,-4.599991,311,11.2,13.3,6.25,5.28,14.2,8,Moderada
285.400024,100020,1.699997,253,8.4,10.4,7.69,5.77,14.2,8.1,Media
285.600006,100280,3.800003,210,5.4,6.9,10,6.18,14.2,8.1,Media
286.200012,100410,2.5,196,3.6,4.6,8.33,6.37,14.1,8.1,Media
287.200012,100670,1.400009,141,1.1,1.7,6.67,6.05,14.5,8.5,Media
286.799988,100810,-1,119,2.9,3.7,6.67,6.23,14.4,8.6,Baja
286.200012,100850,-2.699997,53,4.3,5,7.14,6.05,14.2,9.2,Baja
286.700012,100820,-7.099991,48,6.6,7.9,6.67,5.13,14.2,9,Baja
287,100680,-10.199997,27,8.3,9.8,3.85,4.3,14.2,9,Media
286.100006,100500,-14.5,19,9.8,11.7,5.56,4.3,14.2,8.7,Media
285.700012,100390,-14.599991,359,11,12.7,5.26,4.9,14.1,8,Media
286.299988,100390,-14.099991,346,10.5,12.1,6.25,5.19,14,7.1,Media
286.600006,100510,-11.5,335,9.2,10.9,6.67,5.11,14.1,8.3,Media
286.700012,100580,-7.899994,348,7.5,8.5,6.67,5.21,14,8.8,Media
286.700012,100640,-10.800003,359,6.1,7.1,6.25,5.48,14,10.1,Media
287.200012,100790,-9.5,23,6.8,8,9.09,6.19,14,9.8,Media
287.200012,100930,-9,13,6.5,7.5,12.12,6.04,14.1,10.1,Media
286.700012,100950,-4.899994,18,6.1,7.7,10,6.96,14,10.1,Media
287.5,100790,-3,33,4.2,5.2,11.43,6.79,14,11.6,Media
286.5,100570,0.800003,98,2.4,3.3,10,6.95,14,12.2,Media
287.299988,100290,6.699997,181,3.9,4.6,10.81,7.71,14.1,10.6,Media
286.799988,100100,6.5,136,5.3,6.4,10,6.38,14.1,11.6,Media
286.600006,100020,7,139,9.5,10.9,10,5.15,14,11.9,Media
286.100006,99960,9.900009,197,6.6,7.7,9.09,5.42,14,8.1,Media
286.100006,99600,9.900009,155,9.2,11.2,8.33,5.49,14.1,10.9,Moderada
286.400024,99430,7.400009,148,9.8,11.2,8.33,6.48,14.1,10.8,Moderada
286.100006,99320,6.699997,141,7.4,9.2,11.43,6.44,14.1,10.9,Moderada
286.400024,99440,2.300003,142,4.6,5.7,9.09,6.4,14,10.3,Media
287,99670,-4.099991,29,7.3,8.9,9.09,6.47,14.2,10.6,Media
286.200012,100160,-9.199997,341,9.7,11.9,8.33,5.3,14.1,10.3,Media
286,100590,-7.300003,296,9.2,11,8.33,5.21,14,10.7,Media
286,100880,-3.699997,283,9.2,10.7,8.33,5.45,14.1,7.8,Media
286.299988,101160,-3.300003,280,8.9,10.7,8.33,5.76,14.1,9.2,Moderada
285.299988,101380,-3.099991,296,12.3,15.7,8.33,5.96,14,5.7,Moderada
284.5,101640,-5.599991,276,11.5,14,10,6.52,13.9,5.3,Moderada
285.400024,101900,-5.699997,290,11.5,13.4,8.33,6.17,13.9,3.5,Moderada
285.200012,102110,-8.300003,300,10.5,13,9.09,6.25,13.8,3.6,Moderada
284.600006,102240,-6.199997,321,7.2,8.8,9.09,6.63,13.8,2.3,Moderada
283.900024,102280,-4.899994,351,3.4,4.8,9.09,6.32,13.7,2.9,Baja
284.100006,102290,1.199997,75,4.4,5.6,8.33,6.1,13.7,2.9,Baja
285,102130,4.199997,117,7.8,9.4,6.67,4.72,13.7,4.8,Media
284.799988,101680,1.300003,104,11.4,13.4,6.25,4.81,13.7,5.6,Moderada
285.200012,100640,3.600006,103,14.9,17.5,7.14,5.85,13.6,6.9,MuyAlta
286.299988,99330,8,91,18.6,23.1,10,7.82,13.5,10,MuyAlta
287.900024,99070,18.400009,159,8.7,10.9,11.43,8.06,13.4,12.4,MuyAlta
287,98770,19.800003,175,9.8,12.5,10.81,8.4,13.5,11.8,MuyAlta
286.600006,98190,20.300003,140,14.2,17.7,10.81,6.89,13.4,11.8,MuyAlta
286.100006,98370,11.900009,211,15.6,19.3,10.81,8.27,13.3,11.5,MuyAlta
285.700012,99350,0.400009,244,10.2,13,12.12,8.3,13.3,11.4,MuyAlta
285.299988,100420,-0.699997,260,12.8,15.2,10.81,6.73,13.2,6.8,Moderada
284.5,100950,7.199997,220,9.8,13.4,10.81,7.35,13.2,7.2,Moderada
285.200012,101000,10.400009,202,9.3,10.9,7.69,6.16,13.1,7.5,Moderada
285.299988,100770,11.900009,177,10.2,12,8.33,5.93,13.2,11.4,Moderada
286.100006,100200,12.400009,163,10.1,12.3,9.09,6.15,13.1,11.9,Moderada
285.5,99570,7.900009,195,15.2,18.8,7.14,6.05,13.2,12.2,Moderada
283.400024,100180,-1.699997,274,11,14.3,8.33,6.22,13.1,5.2,Moderada
283.900024,100840,1.800003,260,13.2,15.8,7.69,6.22,12.9,2.2,Moderada
283,101330,2.100006,258,12.5,15.8,9.09,6.48,13,2.5,MuyAlta
282.600006,101630,0.600006,262,11.2,14,10,7.47,12.7,2,Moderada
282,101820,0.800003,273,8,9.9,10.81,6.58,12.8,1.4,Moderada
282.100006,101850,-1.199997,280,5.8,7.6,9.09,6.93,12.7,3.5,Moderada
281.700012,101850,-2.199997,260,6.3,9.7,9.09,6.13,12.7,1,Media
281.799988,101790,-5.599991,346,7.1,8.9,9.09,6.78,12.6,3.6,Media
281.5,101710,-6.300003,317,1.9,3.8,7.69,6.25,12.6,-1.1,Baja
282.200012,101610,-6.300003,316,4.9,6.3,7.69,5.53,12.7,1.6,Baja
281.400024,101520,-3.899994,55,1,2,16,5.81,12.6,1,Baja
281.5,101360,-3.5,69,1.7,3.2,6.67,5.71,12.6,2.7,Baja
282.100006,101160,-2.399994,127,3.8,5,16,6.79,12.6,2.2,Baja
283.700012,100670,-0.399994,106,7.1,8.8,9.09,4.09,12.5,4.1,Media
286,100130,2.300003,111,10.1,12.2,5.26,4.69,12.5,7.3,Media
285.799988,99430,9.100006,103,10.6,12.4,6.25,4.96,12.5,10.9,Media
286.100006,98750,13.800003,161,11.1,13.7,5.26,5.16,12.5,12.3,Media
287,98580,9.800003,179,6.4,7.6,7.14,5.31,12.5,12.1,Media
286.600006,98490,9,190,9,10.8,7.14,5.7,12.5,11.3,Media
285.200012,98470,13.900009,186,9.8,12.9,7.69,6.44,12.4,10.7,MuyAlta
285.900024,98440,16.699997,174,10.7,12.9,16,8.68,12.4,10.7,MuyAlta
286.200012,98200,17.900009,172,13.4,17.1,17.39,9.22,12.4,10.9,MuyAlta
285.799988,98350,10.699997,205,11.8,15.3,17.39,10.14,12.4,11.4,MuyAlta
284.600006,99110,7,248,14.3,17.8,16,7.97,12.4,9.6,MuyAlta
284.600006,99890,6.5,232,10.5,13.9,12.9,8.58,12.3,9.3,MuyAlta
284.799988,100350,8.100006,250,6.4,8.3,13.79,7.64,12.3,8.4,Moderada
284.200012,100290,8.100006,190,6.4,7.7,12.12,7.82,12.3,7.8,Moderada
284.799988,99330,8.199997,113,9.6,12.1,12.12,7.21,12.3,9.5,Moderada
284.600006,99010,8.600006,121,11.5,13.5,7.14,6.61,12.3,10.7,MuyAlta
282.5,99410,8.900009,244,15.2,18.9,8.33,7.01,12.2,5.4,MuyAlta
282,99800,6.900009,214,7.5,9.3,10.81,7.23,12.1,2.6,Moderada
281.900024,99660,3.600006,179,4.5,5.6,9.09,7.12,12.1,3.2,Media
282.299988,99280,-3.099991,19,4.5,5.9,8.33,6.49,12,5.4,Moderada
282.799988,98730,-13.300003,34,12.2,14.8,7.14,5.99,12.1,4.9,Moderada
