@relation fantasmas-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5

@attribute bone_length numeric
@attribute rotting_flesh numeric
@attribute hair_length numeric
@attribute has_soul numeric
@attribute type {Ghost,Goblin,Ghoul}

@data
0.369274,0.74483,0.653939,0.675961,Goblin
0.534988,0.477419,0.719351,0.447444,Ghoul
0.303391,0.476217,0.597167,0.292293,Ghost
0.326295,0.514599,0.381655,0.420199,Ghost
0.424493,0.273026,0.393657,0.363907,Goblin
0.528987,0.496139,0.716997,0.332592,Goblin
0.527762,0.68587,0.584435,0.557136,Goblin
0.421217,0.549165,0.474128,0.425993,Ghost
0.332905,0.494895,0.474788,0.514944,Ghost
0.291816,0.4984,0.587628,0.237966,Ghost
0.669419,0.672588,0.883088,0.524492,Ghoul
0.32153,0.456823,0.320145,0.415155,Ghost
0.559825,0.649088,0.759295,0.656943,Ghoul
0.329668,0.331999,0.396429,0.507142,Goblin
0.40688,0.46449,0.538146,0.600827,Goblin
0.250523,0.650506,0.384925,0.385882,Ghost
0.192909,0.50409,0.383679,0.307534,Ghost
0.306695,0.543905,0.253029,0.385887,Ghost
0.389928,0.402729,0.474255,0.419319,Goblin
0.252733,0.458746,0.596835,0.683089,Goblin
0.630471,0.581029,0.647251,0.505213,Ghoul
0.476769,0.438414,0.586394,0.583394,Goblin
0.430797,0.444787,0.630184,0.611013,Goblin
0.817001,0.400808,0.437047,0.64823,Ghoul
0.497317,0.47158,0.39177,0.367689,Goblin
0.403995,0.682687,0.372529,0.49952,Ghost
0.224798,0.606908,0.446721,0.412233,Ghost
0.446041,0.236142,0.620912,0.61272,Goblin
0.481141,0.69681,0.162611,0.453465,Ghost
0.594994,0.52743,0.40363,0.286794,Goblin
0.327031,0.608481,0.310469,0.356699,Ghost
0.061032,0.578567,0.41544,0.497098,Ghost
0.145071,0.39506,0.333884,0.286773,Ghost
0.540806,0.323365,0.690605,0.69848,Ghoul
0.100945,0.695565,0.235669,0.064468,Ghost
0.453214,0.475223,0.558776,0.230523,Goblin
0.489628,0.552183,0.679624,0.62703,Ghoul
0.340442,0.531701,0.428498,0.263063,Ghost
0.306044,0.53135,0.26659,0.30763,Ghost
0.510704,0.602932,0.539945,0.766311,Ghoul
0.50729,0.708174,0.259167,0.209129,Ghost
0.571502,0.315792,0.765131,0.575139,Goblin
0.498438,0.653783,0.378707,0.708981,Goblin
0.208885,0.399537,0.421704,0.2168,Ghost
0.271735,0.595191,0.176882,0.28729,Ghost
0.452126,0.636626,0.162715,0.099904,Ghost
0.565521,0.422097,0.598682,0.642406,Ghoul
0.308755,0.705034,0.643468,0.58375,Ghoul
0.471201,0.568542,0.515442,0.388791,Goblin
0.681615,0.529227,0.625242,0.615308,Ghoul
0.248854,0.554872,0.50632,0.089402,Ghost
0.465423,0.095687,0.406791,0.364341,Goblin
0.367419,0.575229,0.474942,0.448402,Ghoul
0.730848,0.536456,0.408066,0.787513,Ghoul
0.525485,0.667703,0.380717,0.455845,Goblin
0.399839,0.723971,0.36058,0.363912,Ghost
0.415142,0.620149,0.313793,0.418053,Ghost
0.566424,0.43111,0.684599,0.575277,Ghoul
0.296605,0.352157,0.90181,0.541123,Ghoul
0.421721,0.320303,0.427802,0.533696,Ghoul
0.517632,0.347566,0.427275,0.625824,Goblin
0.272523,0.389352,0.164074,0.594088,Ghost
0.328344,0.679934,0.353277,0.179438,Ghost
0.357145,0.489931,0.69819,0.753687,Ghoul
0.622124,0.5856,0.595529,0.5565,Goblin
0.396298,0.460407,0.515815,0.476212,Goblin
0.227948,0.501056,0.47112,0.698965,Goblin
0.439063,0.490515,0.654721,0.405319,Goblin
0.523833,0.280965,0.475647,0.664576,Ghoul
0.403619,0.559011,0.589784,0.429466,Goblin
0.408238,0.740914,0.348937,0.348661,Ghost
0.46902,0.621063,0.641631,0.598485,Goblin
0.322304,0.551659,0.849211,0.517091,Ghoul
0.505597,0.451094,0.683994,0.792072,Ghoul
0.310462,0.567681,0.1944,0.264562,Ghost
0.390145,0.554114,0.55197,0.317077,Ghost
0.489446,0.415485,0.825953,0.503475,Ghoul
0.168909,0.648866,0.303927,0.25544,Ghost
0.285022,0.492315,0.720678,0.689885,Goblin
0.250293,0.408878,0.456618,0.466024,Goblin
0.431185,0.221793,0.491535,0.299511,Ghoul
0.339569,0.44149,0.448989,0.756766,Goblin
0.518231,0.494491,0.545443,0.600393,Ghoul
0.515985,0.491497,0.901467,0.448064,Ghoul
0.524138,0.578163,0.621787,0.689326,Goblin
0.475316,0.52921,0.307358,0.230361,Ghost
0.627734,0.652067,0.655644,0.459123,Ghoul
0.614899,0.779153,0.428717,0.79241,Ghoul
0.275021,0.689975,0.586513,0.402749,Goblin
0.52441,0.400343,0.749886,0.762676,Ghoul
0.334552,0.500769,0.682656,0.627086,Ghoul
0.284451,0.220268,0.357405,0.316073,Goblin
0.336573,0.243092,0.253459,0.545023,Goblin
0.451085,0.464508,0.505819,0.50901,Goblin
0.523789,0.657317,0.818979,0.624504,Ghoul
0.654488,0.439392,0.621121,0.740199,Ghoul
0.304519,0.301329,0.54588,0.313645,Goblin
0.49961,0.436475,0.591752,0.659622,Ghoul
0.482716,0.561481,0.531423,0.560659,Ghoul
0.367799,0.637446,0.416354,0.41593,Ghost
0.323613,0.431312,0.205097,0.257617,Ghost
0.391036,0.506061,0.252296,0.347765,Ghost
0.364817,0.811583,0.332546,0.161255,Ghost
0.184181,0.631607,0.453163,0.431742,Ghost
0.269748,0.627138,0.195365,0.367902,Ghost
0.200753,0.277945,0.568534,0.556149,Ghoul
0.755298,0.475932,0.965569,0.635935,Ghoul
0.587142,0.420426,0.561271,0.627068,Goblin
0.160465,0.696646,0.408945,0.217147,Ghost
0.430801,0.533614,0.52856,0.368148,Ghoul
0.427218,0.545423,0.63965,0.604801,Goblin
0.251932,0.649031,0.164321,0.300659,Ghost
0.404424,0.464504,0.504417,0.409003,Ghost
0.588413,0.656242,0.835501,0.636101,Ghoul
0.395576,0.79859,0.330822,0.204004,Ghost
0.586227,0.464284,0.599774,0.856757,Ghoul
0.47632,0.286226,0.488843,0.411461,Goblin
0.385219,0.71222,0.39188,0.417344,Ghost
0.502229,0.504399,0.263549,0.121687,Ghost
0.209997,0.497112,0.642451,0.327212,Goblin
0.622371,0.385204,0.308995,0.295509,Ghost
0.51443,0.308411,0.533296,0.450843,Goblin
0.381058,0.704168,0.514749,0.436537,Goblin
0.50378,0.92944,0.366461,0.401567,Ghost
0.374148,0.34459,0.63634,0.248143,Ghost
0.49171,0.463629,0.559444,0.435188,Goblin
0.403727,0.364366,0.609004,0.487301,Goblin
0.423953,0.614569,0.58421,0.65533,Goblin
0.184172,0.715131,0.1346,0.227068,Ghost
0.390669,0.84112,0.195072,0.307668,Ghost
0.515397,0.561786,0.528818,0.373502,Ghoul
0.613365,0.489438,0.580808,0.599846,Ghoul
0.355087,0.444024,0.535344,0.246347,Goblin
0.246415,0.409596,0.538642,0.084829,Ghost
0.184383,0.478937,0.374396,0.52173,Ghost
0.416577,0.458523,0.768333,0.654006,Goblin
0.529985,0.259702,0.713236,0.599668,Ghoul
0.476466,0.534581,0.342816,0.526785,Goblin
0.590384,0.514358,0.714815,0.613114,Ghoul
0.406834,0.45531,0.287008,0.641681,Ghoul
0.332134,0.577321,0.44586,0.409526,Ghost
0.761355,0.33148,0.86106,0.735897,Ghoul
0.405703,0.623273,0.298569,0.161127,Ghost
0.468841,0.517418,0.620956,0.624848,Goblin
0.479818,0.569762,0.721362,0.491938,Ghoul
0.46249,0.574844,0.598097,0.467447,Ghoul
0.493395,0.501552,0.660367,0.605897,Ghoul
0.417253,0.624973,0.328752,0.279668,Ghost
0.232301,0.425967,0.577819,0.733816,Ghoul
0.476892,0.478592,0.40363,0.544587,Ghoul
0.167798,0.812293,0.507361,0.414697,Ghost
0.35824,0.370775,0.667384,0.740579,Ghoul
0.630585,0.539712,0.30558,0.77752,Ghoul
0.440998,0.234051,0.576912,0.509368,Goblin
0.500523,0.390166,0.457503,0.346474,Ghost
0.371422,0.508111,0.59112,0.578714,Goblin
0.354047,0.540752,0.57121,0.243775,Ghost
0.173607,0.589613,0.363439,0.614158,Ghost
0.577809,0.500339,0.756629,0.854949,Goblin
0.194655,0.45684,0.414884,0.288053,Ghost
0.68708,0.53609,0.751614,0.72596,Ghoul
0.757138,0.556602,0.760736,0.57026,Ghoul
0.540088,0.481532,0.71748,0.694784,Ghoul
0.534001,0.595992,0.85014,0.794247,Ghoul
0.521237,0.608728,0.946612,0.676993,Ghoul
0.528536,0.58914,0.651217,0.412176,Ghoul
0.337804,0.378093,0.694287,0.543536,Goblin
0.387011,0.527047,0.765752,0.610298,Ghoul
0.444006,0.424189,0.549613,0.447517,Goblin
0.600557,0.454213,0.556331,0.693149,Ghoul
0.32251,0.434101,0.59588,0.609616,Goblin
0.4173,0.377595,0.541834,0.349087,Goblin
0.483905,0.569917,0.634768,0.506433,Goblin
0.421934,0.250401,0.851171,0.580753,Ghoul
0.554662,0.208676,0.653855,0.408937,Goblin
0.417776,0.35243,0.604264,0.40919,Ghoul
0.422322,0.673089,0.829372,0.577836,Ghoul
0.342585,0.261752,0.582865,0.510331,Goblin
0.187781,0.736491,0.344348,0.346306,Ghost
0.217248,0.498718,0.331531,0.523283,Ghost
0.413576,0.356863,0.65854,0.464002,Goblin
0.649559,0.507846,0.734855,0.546648,Ghoul
0.571056,0.729873,0.421166,0.785423,Ghoul
0.541181,0.370581,0.791226,0.482913,Ghoul
0.516004,0.527508,0.354857,0.760432,Ghoul
0.396988,0.611109,0.507214,0.179642,Ghost
0.383489,0.552048,0.526421,0.70331,Ghoul
0.511593,0.72936,0.492918,0.803195,Ghoul
0.361867,0.56568,0.419227,0.519361,Ghost
0.664432,0.35884,0.666816,0.540097,Goblin
0.168644,0.313009,0.443639,0.5398,Ghost
0.377756,0.593537,0.595629,0.532594,Goblin
0.376473,0.646372,0.609449,0.384293,Ghost
0.279875,0.65642,0.629068,0.29206,Ghost
0.320175,0.691929,0.564494,0.489491,Ghoul
0.439625,0.51418,0.816122,0.651491,Ghoul
0.488632,0.548473,0.598621,0.544566,Ghoul
0.320364,0.212538,0.592559,0.34399,Goblin
0.323805,0.505963,0.496038,0.659684,Goblin
0.626615,0.389805,0.620758,0.712549,Ghoul
0.624388,0.661235,0.574458,0.6423,Goblin
0.165196,0.716798,0.468755,0.253624,Ghost
0.712913,0.531892,0.756465,0.453634,Ghoul
0.346283,0.158742,0.714987,0.322676,Goblin
0.332374,0.605206,0.299235,0.570073,Ghost
0.355313,0.344684,0.555728,0.638232,Goblin
0.502599,0.604174,0.617955,0.593545,Ghoul
0.203073,0.165539,0.299507,0.425802,Ghost
0.552971,0.341187,0.644801,0.415394,Goblin
0.49614,0.377488,0.647238,0.465689,Ghoul
0.362567,0.639753,0.536248,0.427678,Goblin
0.356999,0.671331,0.296784,0.68998,Ghost
0.440133,0.391157,0.571983,0.431373,Goblin
0.445547,0.241139,0.558614,0.399302,Goblin
0.434891,0.66716,0.798618,0.460061,Ghoul
0.440432,0.309498,0.203057,0.194105,Ghost
0.626017,0.172182,0.408422,0.644941,Ghoul
0.467785,0.420135,0.631894,0.386509,Ghoul
0.501022,0.584847,0.65623,0.469886,Ghoul
0.377449,0.466158,0.497351,0.393305,Goblin
0.507583,0.799623,0.33452,0.344403,Ghost
0.486744,0.462666,0.840013,0.353383,Goblin
0.406062,0.449944,0.788983,0.428553,Ghoul
0.458132,0.39176,0.66059,0.635689,Goblin
0.331936,0.564836,0.539216,0.551471,Ghost
0.48164,0.501147,0.496446,0.544003,Ghoul
0.294943,0.771286,0.583503,0.300618,Ghost
0.6702,0.768469,0.737274,0.608384,Ghoul
